gene_oid	gene_length	percent_identity	query_start	query_end	subj_start	subj_end	evalue	bit_score	cog_id	cog_name	cog_length
2608288978	188	18.59	17	170	7	202	6.0e-13	67.5	COG1335	Nicotinamidase-related amidase	205
2608288979	150	50	18	149	12	139	2.0e-31	128	COG0735	Fe2+ or Zn2+ uptake regulation protein	145
2608288980	310	21.91	2	310	7	324	1.0e-17	83.9	COG0535	Radical SAM superfamily enzyme, MoaA/NifB/PqqE/SkfB family	347
2608288984	442	59.55	3	441	5	426	0.0e+00	626	COG2873	O-acetylhomoserine/O-acetylserine sulfhydrylase, pyridoxal phosphate-dependent	426
2608288985	316	35.91	23	312	3	296	3.0e-60	225	COG1897	Homoserine trans-succinylase	307
2608288986	521	31.24	1	519	6	530	2.0e-89	323	COG0659	Sulfate permease or related transporter, MFS superfamily	554
2608288987	420	18.78	44	419	62	452	2.0e-16	80.7	COG0277	FAD/FMN-containing dehydrogenase	459
2608288988	379	29.67	15	257	4	238	1.0e-31	131	COG2138	Sirohydrochlorin ferrochelatase	245
2608288990	546	19.58	6	545	8	535	9.0e-42	165	COG2303	Choline dehydrogenase or related flavoprotein	542
2608288994	129	21.28	1	127	1	138	7.0e-13	66.4	COG0346	Catechol 2,3-dioxygenase or other lactoylglutathione lyase family enzyme	138
2608289009	545	51.7	9	536	1	528	0.0e+00	741	COG4108	Peptide chain release factor RF-3	528
2608289011	300	34.69	1	294	3	283	2.0e-62	232	COG1281	Redox-regulated molecular chaperone, HSP33 family	286
2608289012	215	36.87	1	205	3	217	4.0e-40	158	COG1122	Energy-coupling factor transporter ATP-binding protein EcfA2	235
2608289014	257	30.24	6	247	2	241	7.0e-33	134	COG1385	16S rRNA U1498 N3-methylase RsmE	246
2608289015	245	34.63	6	236	11	240	6.0e-43	167	COG1836	Uncharacterized membrane protein	247
2608289016	214	20.29	6	205	9	207	9.0e-11	60.7	COG2755	Lysophospholipase L1 or related esterase	216
2608289017	500	24.06	241	499	17	281	9.0e-14	71.8	COG3639	ABC-type phosphate/phosphonate transport system, permease component	283
2608289018	246	36.36	4	246	2	244	5.0e-43	168	COG3638	ABC-type phosphate/phosphonate transport system, ATPase component	258
2608289019	297	26.32	5	295	4	296	4.0e-37	148	COG3221	ABC-type phosphate/phosphonate transport system, periplasmic component	299
2608289020	392	41.88	9	391	2	392	1.0e-100	360	COG0436	Aspartate/methionine/tyrosine aminotransferase	393
2608289021	167	42.2	2	164	30	202	1.0e-34	139	COG1573	Uracil-DNA glycosylase	202
2608289022	405	45.76	20	405	1	356	1.0e-124	440	COG0821	4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase IspG/GcpE	361
2608289023	444	38.83	11	400	1	385	3.0e-90	326	COG0793	C-terminal processing protease CtpA/Prc, contains a PDZ domain	406
2608289024	304	49.35	1	304	23	324	3.0e-112	398	COG0379	Quinolinate synthase	324
2608289027	396	29.63	12	388	7	364	1.0e-56	214	COG1565	SAM-dependent methyltransferase, MidA family	370
2608289028	363	50.14	4	363	2	355	2.0e-117	415	COG0337	3-dehydroquinate synthetase	360
2608289029	396	31.22	16	391	4	374	9.0e-83	300	COG0026	Phosphoribosylaminoimidazole carboxylase (NCAIR synthetase)	375
2608289038	532	25.82	96	516	13	421	2.0e-46	180	COG1322	DNA anti-recombination protein (rearrangement mutator) RmuC	448
2608289057	221	24.37	3	185	7	199	8.0e-21	94.1	COG1028	NAD(P)-dependent dehydrogenase, short-chain alcohol dehydrogenase family	251
2608289071	351	29.46	120	341	3	221	3.0e-26	112	COG0569	Trk K+ transport system, NAD-binding component	225
2608289072	123	17.86	5	114	18	124	5.0e-04	36.5	COG2010	Cytochrome c, mono- and diheme variants	150
2608289073	242	48.7	13	241	2	225	8.0e-63	233	COG0745	DNA-binding response regulator, OmpR family, contains REC and winged-helix (wHTH) domain	229
2608289078	328	31.13	7	315	19	317	2.0e-40	159	COG0226	ABC-type phosphate transport system, periplasmic component	318
2608289079	408	33.73	3	168	4	169	1.0e-21	97.6	COG2059	Chromate transport protein ChrA	195
2608289081	351	47.8	11	350	1	334	8.0e-109	387	COG0057	Glyceraldehyde-3-phosphate dehydrogenase/erythrose-4-phosphate dehydrogenase	335
2608289082	106	35.42	9	102	11	106	7.0e-10	55.6	COG0640	DNA-binding transcriptional regulator, ArsR family	110
2608289084	315	42.63	9	315	6	310	7.0e-69	254	COG0573	ABC-type phosphate transport system, permease component	310
2608289085	297	42.91	1	293	1	290	1.0e-59	223	COG0581	ABC-type phosphate transport system, permease component	292
2608289086	269	59.32	8	269	2	253	3.0e-117	414	COG1117	ABC-type phosphate transport system, ATPase component	253
2608289089	216	30.11	18	195	10	192	4.0e-28	118	COG1407	Metallophosphoesterase superfamily enzyme	235
2608289090	828	29.81	17	825	12	796	0.0e+00	500	COG1201	Lhr-like helicase	814
2608289091	546	29.19	210	543	112	444	2.0e-53	204	COG1793	ATP-dependent DNA ligase	444
2608289092	328	21.68	3	315	13	403	4.0e-29	122	COG1236	RNA processing exonuclease, beta-lactamase fold, Cft2 family	427
2608289095	439	23.6	1	431	1	437	7.0e-22	99	COG4487	Uncharacterized protein	438
2608289110	195	63.35	1	191	3	193	4.0e-77	280	COG0740	ATP-dependent protease ClpP, protease subunit	200
2608289111	637	49.84	9	628	1	596	0.0e+00	657	COG0465	ATP-dependent Zn proteases	596
2608289113	405	21.62	2	388	26	426	5.0e-40	159	COG0612	Predicted Zn-dependent peptidase	438
2608289114	421	27.17	18	382	29	392	9.0e-56	211	COG0612	Predicted Zn-dependent peptidase	438
2608289116	304	19.52	19	304	17	293	2.0e-10	60.1	COG0845	Multidrug efflux pump subunit AcrA (membrane-fusion protein)	372
2608289117	390	17.35	23	390	2	416	8.0e-13	68.2	COG0577	ABC-type antimicrobial peptide transport system, permease component	419
2608289118	242	47.51	17	235	2	221	1.0e-63	236	COG1136	ABC-type lipoprotein export system, ATPase component	226
2608289120	303	21.47	1	289	3	304	2.0e-20	93.3	COG1216	Glycosyltransferase, GT2 family	305
2608289121	233	56.28	1	231	1	230	4.0e-89	321	COG0052	Ribosomal protein S2	252
2608289124	818	43.19	125	804	10	675	0.0e+00	709	COG1200	RecG-like helicase	677
2608289125	227	27.27	9	217	1	205	6.0e-26	111	COG2173	D-alanyl-D-alanine dipeptidase	211
2608289126	595	30.84	26	581	5	499	2.0e-108	386	COG0155	Sulfite reductase, beta subunit (hemoprotein)	510
2608289127	720	35.08	4	719	6	690	0.0e+00	573	COG0751	Glycyl-tRNA synthetase, beta subunit	691
2608289128	446	28.61	1	388	3	376	1.0e-46	181	COG0644	Dehydrogenase (flavoprotein)	396
2608289130	598	64.4	5	591	2	588	0.0e+00	957	COG1217	Predicted membrane GTPase involved in stress response	603
2608289132	244	52.44	1	244	1	243	5.0e-89	320	COG1137	ABC-type lipopolysaccharide export system, ATPase component	243
2608289133	309	37.4	49	305	33	280	4.0e-26	112	COG0755	ABC-type transport system involved in cytochrome c biogenesis, permease component	281
2608289134	252	45.41	14	242	2	220	2.0e-63	236	COG0036	Pentose-5-phosphate-3-epimerase	220
2608289135	353	48.92	22	346	2	324	8.0e-111	393	COG1494	Fructose-1,6-bisphosphatase/sedoheptulose 1,7-bisphosphatase or related protein	332
2608289136	436	41.8	1	432	1	414	7.0e-98	351	COG0373	Glutamyl-tRNA reductase	414
2608289137	431	40.83	1	431	3	393	5.0e-117	414	COG0448	ADP-glucose pyrophosphorylase	393
2608289138	472	51.38	1	471	1	468	0.0e+00	627	COG0362	6-phosphogluconate dehydrogenase	473
2608289139	242	28.16	9	242	1	238	9.0e-39	153	COG0363	6-phosphogluconolactonase/Glucosamine-6-phosphate isomerase/deaminase	238
2608289142	557	51.06	1	556	8	571	0.0e+00	713	COG0129	Dihydroxyacid dehydratase/phosphogluconate dehydratase	575
2608289144	205	28.23	5	197	2	206	1.0e-21	96.8	COG0035	Uracil phosphoribosyltransferase	210
2608289146	354	29.29	6	329	2	307	9.0e-52	197	COG0523	GTPase, G3E family	323
2608289147	84	39.51	3	83	1	81	5.0e-18	82.5	COG1828	Phosphoribosylformylglycinamidine (FGAM) synthase, PurS component	83
2608289148	221	48	5	219	4	227	3.0e-77	281	COG0047	Phosphoribosylformylglycinamidine (FGAM) synthase, glutamine amidotransferase domain	231
2608289149	357	45.45	1	329	1	286	2.0e-96	346	COG0191	Fructose/tagatose bisphosphate aldolase	286
2608289150	365	24.93	6	365	2	340	4.0e-47	182	COG0673	Predicted dehydrogenase	342
2608289152	293	56.34	5	287	2	285	4.0e-117	414	COG0777	Acetyl-CoA carboxylase beta subunit	294
2608289153	299	55.52	1	299	1	289	2.0e-110	392	COG3954	Phosphoribulokinase	289
2608289154	357	48.48	1	357	1	345	5.0e-114	404	COG0473	Isocitrate/isopropylmalate dehydrogenase	348
2608289155	344	44.55	24	344	21	337	1.0e-75	277	COG1044	UDP-3-O-[3-hydroxymyristoyl] glucosamine N-acyltransferase	338
2608289156	360	41.53	1	359	6	368	1.0e-94	340	COG0263	Glutamate 5-kinase	369
2608289157	164	29.93	15	150	15	151	3.0e-22	98	COG2179	Predicted phosphohydrolase YqeG, HAD superfamily	175
2608289159	153	31.06	9	135	2	133	3.0e-19	88	COG0816	RNase H-fold protein, predicted Holliday junction resolvase in Firmicutes and mycoplasms, involved in anti-termination at Rho-dependent terminators	141
2608289164	255	46.64	1	238	2	237	8.0e-75	273	COG0106	Phosphoribosylformimino-5-aminoimidazole carboxamide ribonucleotide (ProFAR) isomerase	241
2608289165	306	24.44	1	281	1	303	1.0e-29	123	COG0451	Nucleoside-diphosphate-sugar epimerase	314
2608289166	179	30.77	13	172	13	181	2.0e-12	65.4	COG0558	Phosphatidylglycerophosphate synthase	192
2608289167	203	31.65	124	199	1	79	1.0e-10	60	COG0695	Glutaredoxin	80
2608289170	217	42.99	1	212	1	210	7.0e-64	237	COG0177	Endonuclease III	211
2608289171	352	38.29	2	336	2	343	1.0e-88	319	COG3842	ABC-type Fe3+/spermidine/putrescine transport systems, ATPase components	352
2608289172	184	32.21	35	183	12	160	1.0e-23	102	COG1528	Ferritin	167
2608289174	195	25.16	37	174	47	201	1.0e-06	46.8	COG0664	cAMP-binding domain of CRP or a regulatory subunit of cAMP-dependent protein kinases	214
2608289176	262	29.03	7	251	3	245	2.0e-43	169	COG1120	ABC-type cobalamin/Fe3+-siderophores transport system, ATPase component	258
2608289188	236	47.06	2	236	1	237	3.0e-78	284	COG0410	ABC-type branched-chain amino acid transport system, ATPase component	237
2608289189	249	51.01	3	248	2	248	7.0e-85	307	COG4674	ABC-type uncharacterized transport system, ATPase component	249
2608289190	376	32.22	18	343	11	309	4.0e-46	179	COG4177	ABC-type branched-chain amino acid transport system, permease component	314
2608289192	425	31.71	27	388	2	360	2.0e-60	226	COG0683	ABC-type branched-chain amino acid transport system, periplasmic component	366
2608289193	203	50.77	5	198	14	200	1.0e-56	212	COG0378	Ni2+-binding GTPase involved in regulation of expression and maturation of urease and hydrogenase	202
2608289194	228	24.14	4	228	6	229	8.0e-26	110	COG0830	Urease accessory protein UreF	229
2608289195	149	34.23	8	149	7	154	1.0e-23	102	COG2371	Urease accessory protein UreE	155
2608289196	300	28.97	34	279	29	261	5.0e-37	148	COG0829	Urease accessory protein UreH	269
2608289197	100	69.7	1	99	1	99	1.0e-42	164	COG0831	Urease gamma subunit	100
2608289198	106	63.73	4	105	1	102	1.0e-40	158	COG0832	Urease beta subunit	106
2608289199	569	73.54	2	568	1	567	0.0e+00	1016	COG0804	Urease alpha subunit	568
2608289201	586	24.07	75	352	21	315	1.0e-22	101	COG0366	Glycosidase	505
2608289202	265	27.11	6	261	7	273	4.0e-25	108	COG3769	Predicted mannosyl-3-phosphoglycerate phosphatase, HAD superfamily	274
2608289203	314	28.96	54	301	29	281	9.0e-29	120	COG4240	Pantothenate kinase-related protein Tda10 (topoisomerase I damage affected protein)	300
2608289206	268	36.57	1	266	2	265	1.0e-44	173	COG1968	Undecaprenyl pyrophosphate phosphatase UppP	270
2608289209	242	47.53	34	195	1	160	4.0e-53	201	COG0225	Peptide methionine sulfoxide reductase MsrA	174
2608289210	581	35.33	6	573	4	564	8.0e-107	381	COG1132	ABC-type multidrug transport system, ATPase and permease component	567
2608289212	349	43.15	8	343	5	338	9.0e-89	320	COG0547	Anthranilate phosphoribosyltransferase	338
2608289213	379	49.2	6	375	1	362	0.0e+00	487	COG0505	Carbamoylphosphate synthase small subunit	368
2608289214	132	35.45	20	125	16	124	1.0e-19	88.8	COG1939	23S rRNA maturation mini-RNase III	132
2608289215	336	38.17	97	336	22	256	5.0e-59	221	COG0566	tRNA G18 (ribose-2'-O)-methylase SpoU	260
2608289217	480	50.21	1	470	7	464	0.0e+00	524	COG0154	Asp-tRNAAsn/Glu-tRNAGln amidotransferase A subunit or related amidase	475
2608289218	1165	47.5	1	1139	2	1121	0.0e+00	1228	COG0587	DNA polymerase III, alpha subunit	1139
2608289220	89	47.73	1	88	1	88	7.0e-21	92.1	COG0184	Ribosomal protein S15P/S13E	89
2608289221	225	25.38	1	197	1	188	7.0e-28	117	COG0632	Holliday junction resolvasome RuvABC DNA-binding subunit	201
2608289223	296	20.63	48	295	46	287	6.0e-07	48.3	COG5006	Threonine/homoserine efflux transporter RhtA	292
2608289224	677	34.18	5	553	2	528	1.0e-94	340	COG0358	DNA primase (bacterial type)	568
2608289226	428	27.78	9	360	3	351	7.0e-54	204	COG0389	Nucleotidyltransferase/DNA polymerase involved in DNA repair	354
2608289228	138	36.36	6	137	2	155	2.0e-29	121	COG1576	23S rRNA pseudoU1915 N3-methylase RlmH	155
2608289230	276	35.77	9	267	5	252	1.0e-56	213	COG0030	16S rRNA A1518 and A1519 N6-dimethyltransferase RsmA/KsgA/DIM1 (may also have DNA glycosylase/AP lyase activity)	259
2608289231	311	38.1	8	301	3	278	2.0e-66	246	COG1947	4-diphosphocytidyl-2C-methyl-D-erythritol kinase	289
2608289233	327	52.65	6	325	4	324	1.0e-129	456	COG0022	Pyruvate/2-oxoglutarate/acetoin dehydrogenase complex, dehydrogenase (E1) component	324
2608289234	489	36.18	28	482	106	506	1.0e-78	287	COG0342	Preprotein translocase subunit SecD	506
2608289235	304	35.1	4	303	9	288	5.0e-46	178	COG0341	Preprotein translocase subunit SecF	305
2608289237	347	27.17	1	345	12	342	8.0e-24	104	COG0628	Predicted PurR-regulated permease PerM	355
2608289239	347	30.48	5	297	2	299	2.0e-31	130	COG2603	tRNA 2-selenouridine synthase SelU, contains rhodanese domain	334
2608289243	351	24.02	144	351	21	237	1.0e-22	100	COG2226	Ubiquinone/menaquinone biosynthesis C-methylase UbiE	238
2608289244	473	43.46	4	472	2	442	0.0e+00	498	COG0174	Glutamine synthetase	443
2608289245	394	40.77	24	385	4	363	5.0e-108	384	COG0075	Archaeal aspartate aminotransferase or a related aminotransferase, includes purine catabolism protein PucG	383
2608289246	171	40.41	22	166	7	152	4.0e-33	134	COG0590	tRNA(Arg) A34 adenosine deaminase TadA	152
2608289247	461	23.89	57	461	32	446	6.0e-51	195	COG0076	Glutamate or tyrosine decarboxylase or a related PLP-dependent protein	460
2608289248	499	19.05	111	320	1	209	9.0e-10	58.8	COG1100	GTPase SAR1 family domain	219
2608289249	152	34.21	6	151	8	159	5.0e-16	77.2	COG0597	Lipoprotein signal peptidase	167
2608289251	410	32.06	22	409	1	418	3.0e-28	119	COG0577	ABC-type antimicrobial peptide transport system, permease component	419
2608289252	597	54.95	8	474	5	477	0.0e+00	574	COG0469	Pyruvate kinase	477
2608289253	109	26.73	7	107	12	102	1.0e-05	41.5	COG1694	NTP pyrophosphatase, house-cleaning of non-canonical NTPs	102
2608289254	92	39.24	7	85	12	90	2.0e-06	44	COG0762	Uncharacterized conserved protein YggT, Ycf19 family	96
2608289255	154	31.94	3	139	21	162	5.0e-19	86.9	COG1386	Chromosome segregation and condensation protein ScpB	184
2608289256	515	47.98	1	342	3	347	2.0e-114	406	COG1171	Threonine dehydratase	347
2608289257	629	51.99	1	626	3	623	0.0e+00	847	COG1154	Deoxyxylulose-5-phosphate synthase	627
2608289261	177	41.67	28	175	4	154	3.0e-40	158	COG1225	Peroxiredoxin	157
2608289262	78	42.86	1	63	1	63	6.0e-13	65.7	COG0227	Ribosomal protein L28	77
2608289263	634	29.53	2	631	5	623	7.0e-116	411	COG0326	Molecular chaperone, HSP90 family	623
2608289264	383	20.28	18	359	24	370	2.0e-26	113	COG0124	Histidyl-tRNA synthetase	429
2608289265	282	41.46	28	270	14	259	5.0e-59	221	COG0483	Archaeal fructose-1,6-bisphosphatase or related enzyme of inositol monophosphatase family	260
2608289266	124	25	6	100	3	102	1.0e-12	65.5	COG0633	Ferredoxin	102
2608289268	665	48.57	1	594	4	569	0.0e+00	558	COG0443	Molecular chaperone DnaK (HSP70)	579
2608289271	145	48.28	4	143	2	140	3.0e-42	164	COG0652	Peptidyl-prolyl cis-trans isomerase (rotamase) - cyclophilin family	158
2608289272	574	58.33	24	227	3	203	4.0e-86	312	COG0108	3,4-dihydroxy-2-butanone 4-phosphate synthase	203
2608289273	351	39.09	1	351	3	349	3.0e-96	345	COG0002	N-acetyl-gamma-glutamylphosphate reductase	349
2608289274	244	41.21	49	230	1	182	2.0e-56	212	COG0299	Folate-dependent phosphoribosylglycinamide formyltransferase PurN	200
2608289275	527	32.89	23	461	4	429	1.0e-79	291	COG0166	Glucose-6-phosphate isomerase	446
2608289276	856	47.72	15	856	5	814	0.0e+00	896	COG0495	Leucyl-tRNA synthetase	814
2608289277	286	43.26	4	283	1	270	1.0e-76	280	COG0253	Diaminopimelate epimerase	272
2608289278	390	31.97	6	389	3	377	3.0e-79	289	COG1104	Cysteine sulfinate desulfinase/cysteine desulfurase or related enzyme	386
2608289281	157	51.59	1	157	3	159	3.0e-56	211	COG0669	Phosphopantetheine adenylyltransferase	159
2608289282	162	27.92	1	153	2	153	8.0e-25	106	COG1853	NADH-FMN oxidoreductase RutF, flavin reductase (DIM6/NTAB) family	176
2608289283	652	41.56	24	649	1	581	0.0e+00	524	COG0322	Excinuclease UvrABC, nuclease subunit	581
2608289284	188	37.16	3	148	5	147	3.0e-31	128	COG1981	Uncharacterized membrane protein	149
2608289285	215	27.14	20	215	2	183	1.0e-15	77	COG0613	Predicted metal-dependent phosphoesterase TrpH, contains PHP domain	258
2608289286	1245	30.68	17	1238	17	1246	0.0e+00	898	COG1429	Cobalamin biosynthesis protein CobN, Mg-chelatase	1388
2608289287	304	37.54	6	291	2	284	8.0e-55	207	COG0115	Branched-chain amino acid aminotransferase/4-amino-4-deoxychorismate lyase	284
2608289288	1188	39.02	330	1188	12	842	0.0e+00	843	COG1410	Methionine synthase I, cobalamin-binding domain	842
2608289290	127	48.36	1	122	1	122	3.0e-34	137	COG3651	Uncharacterized conserved protein, DUF2237 family	125
2608289291	276	31.51	42	272	56	291	3.0e-29	122	COG4360	ATP adenylyltransferase (5',5'''-P-1,P-4-tetraphosphate phosphorylase II)	298
2608289295	814	33.43	148	813	1	650	4.0e-123	435	COG0072	Phenylalanyl-tRNA synthetase beta subunit	650
2608289296	64	41.67	5	64	1	50	9.0e-05	38.7	COG0267	Ribosomal protein L33	50
2608289297	73	56.45	7	66	14	75	3.0e-17	80.3	COG0238	Ribosomal protein S18	75
2608289299	511	39.93	1	511	5	547	0.0e+00	527	COG0143	Methionyl-tRNA synthetase	558
2608289303	186	29.31	15	177	2	173	4.0e-27	114	COG2087	Adenosyl cobinamide kinase/adenosyl cobinamide phosphate guanylyltransferase	175
2608289304	160	40.99	1	159	3	154	9.0e-43	166	COG0219	tRNA(Leu) C34 or U34 (ribose-2'-O)-methylase TrmL, contains SPOUT domain	155
2608289306	95	29.76	4	87	12	94	1.0e-11	61.1	COG2127	ATP-dependent Clp protease adapter protein ClpS	107
2608289315	194	52.36	1	189	1	190	1.0e-67	249	COG0450	Alkyl hydroperoxide reductase subunit AhpC (peroxiredoxin)	194
2608289317	584	46.47	1	575	13	585	0.0e+00	529	COG0465	ATP-dependent Zn proteases	596
2608289318	56	36.59	1	41	1	40	3.0e-03	33.3	COG0333	Ribosomal protein L32	57
2608289320	254	22.16	5	198	2	187	6.0e-21	94.8	COG0637	Beta-phosphoglucomutase or related phosphatase, HAD superfamily	221
2608289324	739	21.38	1	738	4	703	3.0e-56	213	COG0557	Exoribonuclease R	706
2608289328	474	33.41	20	474	4	454	4.0e-86	312	COG0312	Predicted Zn-dependent protease or its inactivated homolog	454
2608289329	450	22.78	5	448	3	453	1.0e-50	194	COG0312	Predicted Zn-dependent protease or its inactivated homolog	454
2608289330	328	40.62	2	324	3	307	4.0e-78	285	COG0223	Methionyl-tRNA formyltransferase	307
2608289331	236	25.79	21	226	15	234	1.0e-19	89.9	COG0861	Membrane protein TerC, possibly involved in tellurium resistance	254
2608289332	1174	36.21	25	1158	8	1133	0.0e+00	1021	COG1197	Transcription-repair coupling factor (superfamily II helicase)	1139
2608289338	384	19.74	9	374	7	382	6.0e-31	128	COG0654	2-polyprenyl-6-methoxyphenol hydroxylase and related FAD-dependent oxidoreductases	387
2608289340	282	35.13	8	282	2	265	4.0e-64	238	COG0289	Dihydrodipicolinate reductase	266
2608289341	1336	34.19	1	1334	1	1251	0.0e+00	1041	COG1429	Cobalamin biosynthesis protein CobN, Mg-chelatase	1388
2608289342	284	38.6	14	284	1	267	5.0e-65	241	COG0294	Dihydropteroate synthase	274
2608289343	230	44.44	1	228	12	245	2.0e-73	269	COG0149	Triosephosphate isomerase	251
2608289345	568	34.78	13	563	15	564	4.0e-110	392	COG1132	ABC-type multidrug transport system, ATPase and permease component	567
2608289347	1098	66.58	13	410	1	395	0.0e+00	556	COG0458	Carbamoylphosphate synthase large subunit	400
2608289349	106	39	2	101	10	108	1.0e-23	101	COG0799	Ribosomal silencing factor RsfS, regulates association of 30S and 50S subunits	115
2608289351	321	34.25	13	317	9	335	1.0e-72	266	COG4448	L-asparaginase II	339
2608289354	331	45.77	5	323	3	320	1.0e-89	323	COG4586	ABC-type uncharacterized transport system, ATPase component	325
2608289355	264	35.88	8	263	6	267	3.0e-37	148	COG4587	ABC-type uncharacterized transport system, permease component	268
