gene_oid	gene_length	query_start	query_end	evalue	bit_score	tigrfam_id	tigrfam_name
2608288952	449	2	449	0.0e+00	541.1	TIGR01173	UDP-N-acetylglucosamine diphosphorylase/glucosamine-1-phosphate N-acetyltransferase
2608288954	436	15	436	6.7e-130	419.5	TIGR01356	3-phosphoshikimate 1-carboxyvinyltransferase
2608288955	222	1	220	9.2e-41	126	TIGR00298	2-phosphosulfolactate phosphatase
2608288958	264	5	251	7.9e-56	175.2	TIGR00067	glutamate racemase
2608288959	323	2	323	0.0e+00	509.6	TIGR02749	solanesyl diphosphate synthase
2608288960	660	31	659	0.0e+00	1001.5	TIGR02188	acetate--CoA ligase
2608288964	426	5	406	0.0e+00	471.1	TIGR00442	histidyl-tRNA synthetase
2608288966	99	1	61	1.1e-24	73	TIGR02450	tryptophan-rich conserved hypothetical protein
2608288969	352	13	334	0.0e+00	578.5	TIGR03041	chlorophyll a/b binding light-harvesting protein
2608288975	427	8	408	6.0e-116	373.7	TIGR01790	lycopene cyclase family protein
2608288980	310	7	309	0.0e+00	446.5	TIGR04167	radical SAM/Cys-rich domain protein
2608288981	407	15	403	0.0e+00	615.1	TIGR02399	glucosylglycerol 3-phosphatase
2608288984	442	5	439	0.0e+00	656.1	TIGR01326	OAH/OAS sulfhydrylase
2608288985	316	21	315	1.4e-63	201.2	TIGR01001	homoserine O-succinyltransferase
2608288994	129	1	129	6.7e-59	183.8	TIGR00068	lactoylglutathione lyase
2608289007	777	6	771	0.0e+00	854.2	TIGR02505	ribonucleoside-triphosphate reductase, adenosylcobalamin-dependent
2608289009	545	10	535	0.0e+00	769.7	TIGR00503	peptide chain release factor 3
2608289009	545	14	479	3.2e-70	224.5	TIGR00484	translation elongation factor EF-G
2608289009	545	18	174	8.2e-26	78.4	TIGR00231	small GTP-binding protein domain
2608289014	257	6	253	1.0e-44	138.7	TIGR00046	RNA methyltransferase, RsmE family
2608289015	245	5	243	2.6e-65	206.5	TIGR00297	TIGR00297 family protein
2608289019	297	4	256	1.3e-50	158.2	TIGR01098	phosphate/phosphite/phosphonate ABC transporter, periplasmic binding protein
2608289021	167	1	162	2.5e-49	153.4	TIGR00758	uracil-DNA glycosylase, family 4
2608289022	405	22	397	0.0e+00	489	TIGR00612	1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate synthase
2608289023	444	68	402	3.6e-118	380.4	TIGR00225	C-terminal peptidase (prc)
2608289024	304	1	303	1.3e-117	378.4	TIGR00550	quinolinate synthetase complex, A subunit
2608289025	257	4	257	3.8e-99	317.4	TIGR04168	TIGR04168 family protein
2608289028	363	15	363	1.8e-120	388.2	TIGR01357	3-dehydroquinate synthase
2608289029	396	15	377	1.7e-94	303	TIGR01161	phosphoribosylaminoimidazole carboxylase, PurK protein
2608289053	70	5	63	2.7e-15	42.8	TIGR02450	tryptophan-rich conserved hypothetical protein
2608289078	328	33	327	3.6e-70	222.5	TIGR00975	phosphate ABC transporter, phosphate-binding protein
2608289079	408	13	401	1.0e-65	208.7	TIGR00937	chromate transporter, chromate ion transporter (CHR) family
2608289081	351	13	341	2.3e-122	394.3	TIGR01534	glyceraldehyde-3-phosphate dehydrogenase, type I
2608289084	315	21	312	5.8e-93	297.1	TIGR02138	phosphate ABC transporter, permease protein PstC
2608289085	297	16	293	3.5e-96	307.5	TIGR00974	phosphate ABC transporter, permease protein PstA
2608289086	269	13	269	9.1e-119	381.3	TIGR00972	phosphate ABC transporter, ATP-binding protein
2608289089	216	15	211	3.4e-28	85.9	TIGR00024	putative phosphoesterase, SbcD/Mre11-related
2608289089	216	8	213	2.2e-55	174.3	TIGR04123	metallophosphoesterase, DNA ligase-associated
2608289090	828	15	828	0.0e+00	1056.5	TIGR04121	DEXH box helicase, DNA ligase-associated
2608289091	546	4	542	0.0e+00	511.9	TIGR04120	DNA ligase, ATP-dependent, PP_1105 family
2608289092	328	8	323	2.2e-117	377.5	TIGR04122	putative exonuclease, DNA ligase-associated
2608289109	216	16	215	2.3e-68	216.2	TIGR03060	photosystem II biogenesis protein Psp29
2608289110	195	1	190	1.1e-99	318	TIGR00493	ATP-dependent Clp endopeptidase, proteolytic subunit ClpP
2608289111	637	126	621	0.0e+00	729.8	TIGR01241	ATP-dependent metalloprotease FtsH
2608289116	304	166	302	6.9e-43	133.2	TIGR02971	ABC exporter membrane fusion protein, DevB family
2608289117	390	11	390	0.0e+00	450.6	TIGR01185	DevC protein
2608289118	242	16	235	5.2e-108	345.7	TIGR02982	ABC exporter ATP-binding subunit, DevA family
2608289121	233	3	227	7.8e-102	325.3	TIGR01011	ribosomal protein S2, bacterial type
2608289122	218	1	98	5.8e-40	123.3	TIGR00116	translation elongation factor Ts
2608289124	818	144	784	0.0e+00	709.1	TIGR00643	ATP-dependent DNA helicase RecG
2608289126	595	20	594	0.0e+00	727.3	TIGR02042	ferredoxin-sulfite reductase
2608289127	720	1	719	0.0e+00	578.9	TIGR00211	glycyl-tRNA synthetase, tetrameric type, beta subunit
2608289128	446	2	404	0.0e+00	519	TIGR02023	geranylgeranyl reductase
2608289128	446	2	404	0.0e+00	662.5	TIGR02028	geranylgeranyl reductase
2608289128	446	3	310	4.5e-60	191.4	TIGR02032	geranylgeranyl reductase family
2608289130	598	6	156	3.6e-26	79	TIGR00231	small GTP-binding protein domain
2608289130	598	8	598	0.0e+00	949.5	TIGR01394	GTP-binding protein TypA/BipA
2608289133	309	49	305	8.1e-103	329.5	TIGR03144	cytochrome c-type biogenesis protein CcsB
2608289134	252	17	236	1.1e-71	226.6	TIGR01163	ribulose-phosphate 3-epimerase
2608289135	353	21	353	8.1e-104	333.3	TIGR00330	fructose-1,6-bisphosphatase, class II
2608289136	436	3	430	1.7e-123	398.6	TIGR01035	glutamyl-tRNA reductase
2608289137	431	4	396	0.0e+00	453.3	TIGR02091	glucose-1-phosphate adenylyltransferase
2608289138	472	5	472	0.0e+00	611.5	TIGR00873	6-phosphogluconate dehydrogenase (decarboxylating)
2608289139	242	13	240	2.1e-51	160.7	TIGR01198	6-phosphogluconolactonase
2608289142	557	17	557	0.0e+00	777.9	TIGR00110	dihydroxy-acid dehydratase
2608289146	354	2	338	7.4e-92	293.8	TIGR02475	cobalamin biosynthesis protein CobW
2608289147	84	4	83	2.1e-28	84.6	TIGR00302	phosphoribosylformylglycinamidine synthase, purS protein
2608289148	221	4	221	8.0e-86	273.1	TIGR01737	phosphoribosylformylglycinamidine synthase I
2608289149	357	1	329	3.7e-105	338.4	TIGR00167	ketose-bisphosphate aldolase
2608289149	357	3	349	0.0e+00	639.2	TIGR01521	fructose-bisphosphate aldolase, class II, Calvin cycle subtype
2608289152	293	1	288	0.0e+00	435.6	TIGR00515	acetyl-CoA carboxylase, carboxyl transferase, beta subunit
2608289154	357	5	353	0.0e+00	475.2	TIGR00169	3-isopropylmalate dehydrogenase
2608289155	344	9	338	5.8e-97	310.5	TIGR01853	UDP-3-O-[3-hydroxymyristoyl] glucosamine N-acyltransferase LpxD
2608289156	360	2	359	1.3e-116	375.7	TIGR01027	glutamate 5-kinase
2608289157	164	1	160	3.6e-32	98.3	TIGR01668	HAD superfamily (subfamily IIIA) phosphatase, TIGR01668
2608289157	164	29	140	1.6e-16	47.8	TIGR01662	HAD-superfamily hydrolase, subfamily IIIA
2608289159	153	12	137	2.3e-24	72.1	TIGR00250	RNAse H-fold protein YqgF
2608289164	255	3	235	1.4e-85	272.6	TIGR00007	phosphoribosylformimino-5-aminoimidazole carboxamide ribotide isomerase
2608289166	179	12	179	3.1e-38	118.2	TIGR00560	CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase
2608289170	217	3	194	1.9e-69	219.3	TIGR01083	endonuclease III
2608289188	236	5	236	4.1e-103	329.8	TIGR03410	urea ABC transporter, ATP-binding protein UrtE
2608289189	249	5	246	1.3e-113	364.7	TIGR03411	urea ABC transporter, ATP-binding protein UrtD
2608289190	376	28	341	0.0e+00	437.1	TIGR03408	urea ABC transporter, permease protein UrtC
2608289191	384	5	333	3.9e-97	311.4	TIGR03409	urea ABC transporter, permease protein UrtB
2608289192	425	36	401	0.0e+00	555.5	TIGR03407	urea ABC transporter, urea binding protein
2608289193	203	4	202	1.2e-95	305	TIGR00101	urease accessory protein UreG
2608289197	100	1	100	3.0e-50	154.9	TIGR00193	urease, gamma subunit
2608289198	106	4	106	4.0e-49	151.3	TIGR00192	urease, beta subunit
2608289199	569	4	569	0.0e+00	980.9	TIGR01792	urease, alpha subunit
2608289202	265	8	221	1.5e-27	84.7	TIGR01484	HAD-superfamily hydrolase, subfamily IIB
2608289202	265	8	222	3.9e-95	305.3	TIGR02463	mannosyl-3-phosphoglycerate phosphatase-related protein
2608289202	265	8	259	3.0e-94	302.7	TIGR01486	mannosyl-3-phosphoglycerate phosphatase family
2608289206	268	8	261	1.5e-62	197.6	TIGR00753	undecaprenyl-diphosphatase UppP
2608289209	242	40	195	8.4e-63	197.4	TIGR00401	methionine-S-sulfoxide reductase
2608289212	349	11	340	2.8e-108	348.1	TIGR01245	anthranilate phosphoribosyltransferase
2608289213	379	9	377	0.0e+00	483.6	TIGR01368	carbamoyl-phosphate synthase, small subunit
2608289215	336	95	336	4.1e-76	241.6	TIGR00186	rRNA methylase, putative, group 3
2608289217	480	6	475	0.0e+00	627.2	TIGR00132	aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase, A subunit
2608289218	1165	3	1036	0.0e+00	1368.5	TIGR00594	DNA-directed DNA polymerase III (polc)
2608289220	89	4	89	3.8e-37	112.8	TIGR00952	ribosomal protein S15, bacterial/organelle
2608289221	225	1	210	4.5e-40	123.2	TIGR00084	Holliday junction DNA helicase, RuvA subunit
2608289224	677	4	427	0.0e+00	452.8	TIGR01391	DNA primase, catalytic core
2608289228	138	35	138	2.3e-26	78.8	TIGR00246	rRNA large subunit m3Psi methyltransferase RlmH
2608289230	276	6	269	1.5e-70	223.4	TIGR00755	ribosomal RNA small subunit methyltransferase A
2608289231	311	7	310	6.0e-74	235.2	TIGR00154	4-diphosphocytidyl-2C-methyl-D-erythritol kinase
2608289234	489	222	459	1.5e-70	224.4	TIGR00916	protein-export membrane protein, SecD/SecF family
2608289234	489	29	466	2.9e-113	365.9	TIGR01129	protein-export membrane protein SecD
2608289235	304	41	297	8.2e-64	202.7	TIGR00966	protein-export membrane protein SecF
2608289235	304	59	294	2.6e-51	161.5	TIGR00916	protein-export membrane protein, SecD/SecF family
2608289238	117	9	115	1.7e-47	146.4	TIGR03047	photosystem II reaction center protein Psb28
2608289239	347	14	327	4.9e-101	324.2	TIGR03167	tRNA 2-selenouridine synthase
2608289244	473	6	472	0.0e+00	657.1	TIGR00653	glutamine synthetase, type I
2608289248	499	113	269	3.9e-21	61.6	TIGR00231	small GTP-binding protein domain
2608289249	152	1	152	3.5e-32	97.7	TIGR00077	lipoprotein signal peptidase
2608289252	597	8	474	0.0e+00	576.4	TIGR01064	pyruvate kinase
2608289255	154	1	154	6.5e-38	116.3	TIGR00281	segregation and condensation protein B
2608289256	515	5	511	0.0e+00	729	TIGR01124	threonine ammonia-lyase, biosynthetic, long form
2608289257	629	3	626	0.0e+00	892	TIGR00204	1-deoxy-D-xylulose-5-phosphate synthase
2608289258	86	5	86	5.8e-39	118.6	TIGR03049	photosystem I reaction center subunit PsaK
2608289262	78	1	58	9.0e-27	79.6	TIGR00009	ribosomal protein L28
2608289266	124	3	100	1.6e-24	71.8	TIGR02008	ferredoxin [2Fe-2S]
2608289268	665	3	603	0.0e+00	804.8	TIGR02350	chaperone protein DnaK
2608289272	574	23	222	9.5e-82	260.5	TIGR00506	3,4-dihydroxy-2-butanone 4-phosphate synthase
2608289272	574	230	421	7.3e-80	254	TIGR00505	GTP cyclohydrolase II
2608289273	351	1	351	5.5e-107	343.9	TIGR01850	N-acetyl-gamma-glutamyl-phosphate reductase, common form
2608289274	244	49	235	8.6e-66	207.2	TIGR00639	phosphoribosylglycinamide formyltransferase, formyltetrahydrofolate-dependent
2608289276	856	15	856	0.0e+00	1104.4	TIGR00396	leucyl-tRNA synthetase, eubacterial and mitochondrial family
2608289277	286	4	285	5.3e-89	284.2	TIGR00652	diaminopimelate epimerase
2608289280	405	222	384	6.5e-27	80.2	TIGR00666	D-alanyl-D-alanine carboxypeptidase, serine-type, PBP4 family
2608289281	157	2	156	2.7e-61	193.2	TIGR01510	pantetheine-phosphate adenylyltransferase, bacterial
2608289281	157	2	62	4.0e-19	55.8	TIGR00125	cytidyltransferase-like domain
2608289283	652	28	630	0.0e+00	614.4	TIGR00194	excinuclease ABC, C subunit
2608289284	188	5	153	2.0e-50	156.7	TIGR00701	TIGR00701 family protein
2608289286	1245	1	1238	0.0e+00	1700.6	TIGR02257	cobaltochelatase, CobN subunit
2608289287	304	9	301	2.3e-87	278.9	TIGR01122	branched-chain amino acid aminotransferase, group I
2608289288	1188	11	1188	0.0e+00	1364	TIGR02082	5-methyltetrahydrofolate--homocysteine methyltransferase
2608289295	814	1	813	0.0e+00	734.4	TIGR00472	phenylalanyl-tRNA synthetase, beta subunit, non-spirochete bacterial
2608289296	64	1	64	2.8e-26	77.9	TIGR01023	ribosomal protein L33, bacterial type
2608289297	73	4	71	1.2e-32	98.2	TIGR00165	ribosomal protein S18
2608289299	511	134	500	2.9e-103	332.3	TIGR00398	methionyl-tRNA synthetase
2608289304	160	1	160	1.8e-48	150.4	TIGR00185	tRNA (cytidine(34)-2'-O)-methyltransferase
2608289317	584	81	578	0.0e+00	600.5	TIGR01241	ATP-dependent metalloprotease FtsH
2608289318	56	2	33	4.2e-09	22.8	TIGR01031	ribosomal protein L32
2608289320	254	77	196	4.3e-10	27.1	TIGR01509	haloacid dehalogenase superfamily, subfamily IA, variant 3 with third motif having DD or ED
2608289327	390	15	244	1.9e-110	355.1	TIGR02029	magnesium-protoporphyrin IX monomethyl ester aerobic oxidative cyclase
2608289330	328	1	327	1.1e-80	257.1	TIGR00460	methionyl-tRNA formyltransferase
2608289331	236	25	230	5.1e-51	159.4	TIGR03716	integral membrane protein, YkoY family
2608289332	1174	160	1087	0.0e+00	1034	TIGR00580	transcription-repair coupling factor (mfd)
2608289340	282	8	281	2.0e-78	249.6	TIGR00036	4-hydroxy-tetrahydrodipicolinate reductase
2608289341	1336	187	1329	0.0e+00	642.8	TIGR02257	cobaltochelatase, CobN subunit
2608289341	1336	24	1334	0.0e+00	1742.8	TIGR02025	magnesium chelatase, H subunit
2608289342	284	22	281	1.7e-89	285.9	TIGR01496	dihydropteroate synthase
2608289343	230	6	221	1.8e-46	144.8	TIGR00419	triosephosphate isomerase
2608289347	1098	2	1079	0.0e+00	1444.8	TIGR01369	carbamoyl-phosphate synthase, large subunit
2608289349	106	1	97	2.2e-33	100.6	TIGR00090	ribosome silencing factor RsfS/YbeB/iojap
2608289370	68	12	68	9.4e-23	66.1	TIGR00030	ribosomal protein S21
2608289390	868	18	867	0.0e+00	934.2	TIGR02414	aminopeptidase N, Escherichia coli type
2608289394	391	10	389	0.0e+00	514.8	TIGR01142	phosphoribosylglycinamide formyltransferase 2
2608289399	335	13	328	1.2e-109	353.3	TIGR00737	putative TIM-barrel protein, nifR3 family
2608289399	335	18	329	7.9e-43	134	TIGR00742	tRNA dihydrouridine synthase A
2608289404	139	13	126	2.8e-15	42.9	TIGR00051	acyl-CoA thioester hydrolase, YbgC/YbaW family
2608289455	185	7	180	2.1e-39	121.4	TIGR02727	5,10-methenyltetrahydrofolate synthetase
2608289456	157	3	154	3.0e-33	101.1	TIGR00228	crossover junction endodeoxyribonuclease RuvC
2608289457	362	10	346	0.0e+00	537.6	TIGR02030	magnesium chelatase ATPase subunit I
2608289458	249	7	244	7.6e-57	178.9	TIGR00050	RNA methyltransferase, TrmH family, group 1
2608289461	199	1	196	2.6e-40	124.2	TIGR00095	16S rRNA (guanine(966)-N(2))-methyltransferase RsmD
2608289462	205	4	203	1.2e-64	203.8	TIGR01855	imidazole glycerol phosphate synthase, glutamine amidotransferase subunit
2608289463	107	7	107	8.6e-46	140.5	TIGR01068	thioredoxin
2608289465	387	3	366	0.0e+00	490.3	TIGR01304	IMP dehydrogenase family protein
2608289466	863	19	850	0.0e+00	1126.8	TIGR01063	DNA gyrase, A subunit
2608289467	403	5	399	1.2e-118	382.5	TIGR01790	lycopene cyclase family protein
2608289469	546	7	515	0.0e+00	756.8	TIGR00973	2-isopropylmalate synthase, bacterial type
2608289471	490	273	374	3.1e-21	61.3	TIGR00277	HDIG domain
2608289475	463	2	456	1.9e-96	309.6	TIGR00379	cobyrinic acid a,c-diamide synthase
2608289476	433	6	404	1.5e-33	102.3	TIGR00534	glucose-6-phosphate dehydrogenase assembly protein OpcA
2608289477	507	20	507	0.0e+00	606.3	TIGR00871	glucose-6-phosphate 1-dehydrogenase
2608289484	331	22	331	4.8e-123	395.9	TIGR01251	ribose-phosphate pyrophosphokinase
2608289485	506	2	429	1.2e-88	284.4	TIGR00217	4-alpha-glucanotransferase
2608289493	146	11	139	4.0e-30	90.8	TIGR01575	ribosomal-protein-alanine acetyltransferase
2608289494	457	26	448	0.0e+00	446.8	TIGR01048	diaminopimelate decarboxylase
2608289495	301	3	256	7.0e-65	204.8	TIGR00159	TIGR00159 family protein
2608289496	267	23	250	2.0e-96	307.8	TIGR00055	undecaprenyl diphosphate synthase
2608289497	335	22	320	2.6e-115	370.7	TIGR00433	biotin synthase
2608289500	299	2	299	1.6e-105	338.7	TIGR00510	lipoate synthase
2608289501	199	2	196	2.9e-79	251.2	TIGR00615	recombination protein RecR
2608289507	1208	2	1208	0.0e+00	433.2	TIGR00609	exodeoxyribonuclease V, beta subunit
2608289511	238	3	237	4.1e-97	310.4	TIGR00559	pyridoxine 5'-phosphate synthase
2608289515	107	5	103	1.5e-46	142.8	TIGR00365	monothiol glutaredoxin, Grx4 family
2608289519	514	8	506	0.0e+00	851	TIGR02730	carotene isomerase
2608289520	470	4	456	0.0e+00	626.7	TIGR00137	tRNA:m(5)U-54 methyltransferase
2608289527	170	4	170	3.8e-49	153.1	TIGR01090	adenine phosphoribosyltransferase
2608289539	360	1	360	0.0e+00	744.9	TIGR01151	photosystem II, DI subunit (also called Q(B))
2608289563	343	128	229	2.6e-22	65.5	TIGR01726	amine acid ABC transporter, permease protein, 3-TM region, His/Glu/Gln/Arg/opine family
2608289564	297	65	143	2.0e-15	43.4	TIGR01726	amine acid ABC transporter, permease protein, 3-TM region, His/Glu/Gln/Arg/opine family
2608289579	98	58	97	1.9e-19	55.3	TIGR01333	cytochrome b559, beta subunit
2608289585	982	281	982	0.0e+00	624.4	TIGR01846	type I secretion system ABC transporter, HlyB family
2608289591	358	2	342	0.0e+00	467.9	TIGR01420	pilus retraction protein PilT
2608289599	207	11	34	1.1e-10	27.3	TIGR02532	prepilin-type N-terminal cleavage/methylation domain
2608289602	221	37	60	2.8e-10	26	TIGR02532	prepilin-type N-terminal cleavage/methylation domain
2608289604	189	10	33	3.8e-10	25.6	TIGR02532	prepilin-type N-terminal cleavage/methylation domain
2608289607	240	69	222	9.7e-48	148	TIGR00093	pseudouridine synthase
2608289650	363	1	363	0.0e+00	499	TIGR00092	GTP-binding protein YchF
2608289651	353	42	344	1.9e-54	170.7	TIGR01730	RND family efflux transporter, MFP subunit
2608289652	976	13	976	0.0e+00	912.5	TIGR00593	DNA polymerase I
2608289653	489	2	489	0.0e+00	523.9	TIGR00435	cysteinyl-tRNA synthetase
2608289654	408	1	403	0.0e+00	532.9	TIGR00243	1-deoxy-D-xylulose 5-phosphate reductoisomerase
2608289661	376	3	373	5.3e-103	331.3	TIGR00561	NAD(P) transhydrogenase, alpha subunit
2608289664	458	11	315	8.9e-111	355.4	TIGR01292	thioredoxin-disulfide reductase
2608289665	88	1	68	1.1e-21	62.8	TIGR00008	translation initiation factor IF-1
2608289669	174	1	158	4.2e-65	204.6	TIGR00119	acetolactate synthase, small subunit
2608289672	358	1	358	0.0e+00	707.9	TIGR01152	Photosystem II, DII subunit (also called Q(A))
2608289673	460	21	451	0.0e+00	884	TIGR01153	photosystem II 44 kDa subunit reaction center protein (also called P6 protein, CP43), bacterial and chloroplast
2608289675	206	1	202	6.1e-48	148.8	TIGR00172	MAF protein
2608289676	509	14	507	0.0e+00	516.6	TIGR00313	cobyric acid synthase CobQ
2608289684	291	1	289	0.0e+00	489.1	TIGR00388	glycyl-tRNA synthetase, tetrameric type, alpha subunit
2608289691	352	14	335	0.0e+00	546.8	TIGR03041	chlorophyll a/b binding light-harvesting protein
2608289692	174	2	171	8.0e-50	154.7	TIGR01752	flavodoxin, long chain
2608289701	269	12	219	4.5e-77	244.4	TIGR00706	signal peptide peptidase SppA, 36K type
2608289702	123	7	122	6.3e-38	116	TIGR01796	monofunctional chorismate mutase, gram positive type, clade 1
2608289704	45	2	45	4.9e-20	57.8	TIGR01030	ribosomal protein L34, bacterial type
2608289705	128	1	128	1.7e-13	37	TIGR00188	ribonuclease P protein component, eubacterial
2608289707	380	23	338	1.9e-60	190.3	TIGR03592	membrane protein insertase, YidC/Oxa1 family, C-terminal domain
2608289709	431	7	423	0.0e+00	513.4	TIGR00414	seryl-tRNA synthetase
2608289710	359	1	132	4.6e-39	120.4	TIGR00054	RIP metalloprotease RseP
2608289712	721	9	701	0.0e+00	929.7	TIGR03591	polyribonucleotide nucleotidyltransferase
2608289714	287	18	287	7.3e-83	264.1	TIGR00096	16S rRNA (cytidine(1402)-2'-O)-methyltransferase
2608289719	441	21	430	0.0e+00	432.4	TIGR03026	nucleotide sugar dehydrogenase
2608289732	474	6	452	3.5e-104	334.7	TIGR03026	nucleotide sugar dehydrogenase
2608289734	476	6	476	0.0e+00	663.5	TIGR01479	mannose-1-phosphate guanylyltransferase/mannose-6-phosphate isomerase
2608289736	367	14	362	0.0e+00	588.6	TIGR01472	GDP-mannose 4,6-dehydratase
2608289737	352	5	352	5.0e-111	356.7	TIGR01179	UDP-glucose-4-epimerase GalE
2608289744	622	2	554	0.0e+00	467.5	TIGR01536	asparagine synthase (glutamine-hydrolyzing)
2608289756	412	255	411	1.2e-32	100	TIGR01656	histidinol-phosphate phosphatase family domain
2608289756	412	255	412	1.1e-24	74.2	TIGR01662	HAD-superfamily hydrolase, subfamily IIIA
2608289779	205	5	205	1.8e-60	190	TIGR00498	SOS regulatory protein LexA
2608289780	308	10	308	1.9e-116	374.5	TIGR00658	ornithine carbamoyltransferase
2608289781	620	114	614	0.0e+00	722.1	TIGR01241	ATP-dependent metalloprotease FtsH
2608289782	364	12	359	2.3e-109	352.7	TIGR00326	riboflavin biosynthesis protein RibD
2608289782	364	151	362	1.2e-52	165.6	TIGR00227	riboflavin-specific deaminase C-terminal domain
2608289785	424	10	215	7.4e-37	113.8	TIGR02467	precorrin-6y C5,15-methyltransferase (decarboxylating), CbiE subunit
2608289785	424	246	374	2.7e-36	111.7	TIGR02469	precorrin-6Y C5,15-methyltransferase (decarboxylating), CbiT subunit
2608289787	345	57	345	3.2e-113	364.2	TIGR00468	phenylalanyl-tRNA synthetase, alpha subunit
2608289788	269	4	250	4.6e-76	241.5	TIGR00087	5'/3'-nucleotidase SurE
2608289790	307	15	303	1.2e-75	240.6	TIGR00083	riboflavin kinase/FMN adenylyltransferase
2608289791	351	153	343	6.9e-68	213.8	TIGR00693	thiamine-phosphate diphosphorylase
2608289792	69	3	69	1.1e-22	66.4	TIGR01683	thiamine biosynthesis protein ThiS
2608289796	148	46	140	7.1e-34	101.8	TIGR03792	uncharacterized cyanobacterial protein, TIGR03792 family
2608289797	167	9	165	9.9e-65	203.5	TIGR00151	2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase
2608289799	245	4	231	1.0e-82	262.9	TIGR00088	tRNA (guanine-N1)-methyltransferase
2608289800	303	5	169	5.6e-28	84.8	TIGR00231	small GTP-binding protein domain
2608289800	303	7	282	4.1e-88	282.2	TIGR00436	GTP-binding protein Era
2608289804	121	2	77	2.8e-31	93.6	TIGR00002	ribosomal protein S16
2608289805	489	2	429	0.0e+00	579.9	TIGR00959	signal recognition particle protein
2608289807	345	21	343	0.0e+00	463.3	TIGR03182	pyruvate dehydrogenase E1 component, alpha subunit
2608289808	313	18	303	2.0e-125	404.9	TIGR02997	RNA polymerase sigma factor, cyanobacterial RpoD-like family
2608289808	313	77	306	8.0e-41	126.5	TIGR02937	RNA polymerase sigma factor, sigma-70 family
2608289809	521	13	218	1.1e-32	100.4	TIGR00197	yjeF N-terminal region
2608289809	521	231	514	7.9e-42	130.5	TIGR00196	yjeF C-terminal region, hydroxyethylthiazole kinase-related
2608289810	385	24	384	2.6e-111	357.8	TIGR00420	tRNA (5-methylaminomethyl-2-thiouridylate)-methyltransferase
2608289811	495	55	445	1.2e-38	119.2	TIGR00546	apolipoprotein N-acyltransferase
2608289813	142	1	134	9.6e-72	226.1	TIGR02753	superoxide dismutase, Ni
2608289814	105	1	82	1.2e-22	67.4	TIGR02754	nickel-type superoxide dismutase maturation protease
2608289817	479	7	479	2.2e-130	421.3	TIGR01350	dihydrolipoamide dehydrogenase
2608289819	456	13	429	0.0e+00	534.3	TIGR01072	UDP-N-acetylglucosamine 1-carboxyvinyltransferase
2608289821	410	25	405	6.0e-84	268.6	TIGR01499	folylpolyglutamate synthase/dihydrofolate synthase
