gene_oid	gene_length	query_start	query_end	subj_start	subj_end	evalue	bit_score	pfam_id	pfam_name	pfam_length
2608288972	219	6	81	1	71	4.1e-17	62.1	pfam13417	GST_N_3	75
2608288972	219	91	193	7	52	7.4e-10	38.5	pfam13410	GST_C_2	69
2608288973	180	3	80	1	99	5.8e-06	26.6	pfam10544	T5orf172	100
2608288974	235	2	172	2	166	4.0e-17	62.6	pfam00106	adh_short	167
2608288975	427	8	406	1	370	9.2e-65	218.9	pfam05834	Lycopene_cycl	374
2608288976	333	5	158	2	135	2.3e-07	30.8	pfam00106	adh_short	167
2608288977	343	127	328	3	206	7.6e-40	136.4	pfam00924	MS_channel	206
2608288978	188	16	165	2	173	5.7e-30	104.5	pfam00857	Isochorismatase	174
2608288979	150	20	143	2	119	1.7e-35	121.5	pfam01475	FUR	120
2608288980	310	18	166	2	141	4.1e-08	33.5	pfam04055	Radical_SAM	166
2608288980	310	20	134	14	99	7.9e-05	22.8	pfam13353	Fer4_12	139
2608288980	310	174	308	1	134	7.8e-55	184.3	pfam12345	DUF3641	134
2608288981	407	21	400	1	380	0.0e+00	595	pfam09506	Salt_tol_Pase	381
2608288984	442	7	439	1	385	0.0e+00	464.7	pfam01053	Cys_Met_Meta_PP	386
2608288985	316	22	315	2	296	4.5e-94	314.5	pfam04204	HTS	298
2608288986	521	2	84	13	82	1.0e-14	53.9	pfam13792	Sulfate_tra_GLY	84
2608288986	521	113	387	2	279	7.2e-64	215.4	pfam00916	Sulfate_transp	280
2608288986	521	428	520	11	101	1.4e-07	30.9	pfam01740	STAS	117
2608288987	420	30	146	30	138	8.0e-14	51.2	pfam01565	FAD_binding_4	139
2608288988	379	21	125	1	102	2.1e-22	79.2	pfam01903	CbiX	105
2608288988	379	149	253	1	104	5.4e-18	65	pfam01903	CbiX	105
2608288989	85	23	79	1	57	2.5e-25	88.2	pfam10929	DUF2811	57
2608288990	546	7	47	1	36	9.9e-06	24.6	pfam00890	FAD_binding_2	417
2608288990	546	398	539	1	144	6.5e-17	62.1	pfam05199	GMC_oxred_C	144
2608288991	157	48	131	2	71	2.1e-11	43.4	pfam13599	Pentapeptide_4	78
2608288994	129	2	125	1	128	2.1e-20	72.9	pfam00903	Glyoxalase	128
2608289006	88	12	66	1	55	2.3e-21	75.2	pfam07878	DUF1662	55
2608289008	231	46	210	5	108	1.1e-14	54.2	pfam13847	Methyltransf_31	152
2608289009	545	18	284	2	186	1.3e-50	171.4	pfam00009	GTP_EFTU	188
2608289009	545	319	386	2	74	5.3e-06	26.4	pfam03144	GTP_EFTU_D2	74
2608289010	224	21	224	2	194	2.4e-53	180.4	pfam11833	DUF3353	194
2608289011	300	2	291	1	278	2.7e-74	249.7	pfam01430	HSP33	280
2608289012	215	19	157	2	137	3.8e-31	108.1	pfam00005	ABC_tran	137
2608289013	147	1	147	1	146	1.4e-70	235.6	pfam12049	DUF3531	147
2608289014	257	22	248	2	224	6.4e-53	179.1	pfam04452	Methyltrans_RNA	225
2608289015	245	11	235	2	226	9.9e-74	247.2	pfam01940	DUF92	226
2608289016	214	9	198	1	176	2.7e-28	99.2	pfam13472	Lipase_GDSL_2	179
2608289018	246	21	174	1	137	4.3e-33	114.5	pfam00005	ABC_tran	137
2608289019	297	31	283	1	243	6.8e-54	182.8	pfam12974	Phosphonate-bd	243
2608289020	392	33	384	2	362	4.7e-73	246.2	pfam00155	Aminotran_1_2	363
2608289021	167	6	158	3	151	8.5e-36	122.7	pfam03167	UDG	152
2608289022	405	25	400	1	357	0.0e+00	486.4	pfam04551	GcpE	359
2608289023	444	118	194	2	74	8.5e-11	41.5	pfam13180	PDZ_2	82
2608289023	444	220	381	2	169	1.2e-55	187.5	pfam03572	Peptidase_S41	169
2608289024	304	2	302	2	296	1.8e-121	404.5	pfam02445	NadA	296
2608289025	257	1	185	28	199	6.8e-11	41.9	pfam00149	Metallophos	200
2608289026	265	46	157	2	119	4.6e-08	32.9	pfam04536	TPM	119
2608289027	396	67	327	9	251	1.8e-44	152	pfam02636	Methyltransf_28	252
2608289028	363	71	332	2	261	4.6e-103	343.6	pfam01761	DHQ_synthase	261
2608289029	396	119	289	3	172	1.0e-45	155.1	pfam02222	ATP-grasp	172
2608289034	42	1	32	128	155	3.7e-05	24	pfam00504	Chloroa_b-bind	156
2608289038	532	216	519	5	302	1.2e-70	237.8	pfam02646	RmuC	305
2608289040	99	22	95	1	69	4.7e-22	77.8	pfam07864	DUF1651	75
2608289043	249	55	249	105	311	4.3e-21	75.1	pfam01653	DNA_ligase_aden	315
2608289047	96	22	96	1	74	1.3e-21	76.4	pfam07864	DUF1651	75
2608289050	84	3	74	131	154	1.1e-05	25.8	pfam00504	Chloroa_b-bind	156
2608289053	70	6	63	3	59	1.4e-17	63.6	pfam09493	DUF2389	60
2608289057	221	2	160	2	161	8.6e-16	58.3	pfam00106	adh_short	167
2608289067	103	3	91	1	90	8.4e-27	93.3	pfam11746	DUF3303	91
2608289070	117	8	115	35	118	7.1e-20	71.3	pfam07386	DUF1499	118
2608289071	351	23	98	3	77	5.8e-16	57.9	pfam07885	Ion_trans_2	79
2608289071	351	120	235	1	116	3.5e-29	101.1	pfam02254	TrkA_N	116
2608289071	351	281	341	15	64	3.8e-08	32.8	pfam02080	TrkA_C	71
2608289072	123	37	114	2	67	1.0e-09	38.4	pfam13442	Cytochrome_CBB3	67
2608289073	242	14	127	1	110	2.1e-28	98.5	pfam00072	Response_reg	112
2608289073	242	165	241	2	77	1.7e-27	95.1	pfam00486	Trans_reg_C	77
2608289074	384	159	223	2	67	7.6e-12	45	pfam00512	HisKA	68
2608289074	384	268	379	1	106	6.4e-19	67.7	pfam02518	HATPase_c	111
2608289076	760	456	759	12	323	4.3e-42	144.5	pfam13449	Phytase-like	326
2608289077	444	135	426	18	301	4.9e-11	42.7	pfam13609	Porin_4	311
2608289078	328	17	298	5	281	1.2e-50	172.6	pfam12849	PBP_like_2	281
2608289079	408	5	177	1	165	2.9e-40	137.6	pfam02417	Chromate_transp	169
2608289079	408	226	403	2	168	1.5e-37	128.8	pfam02417	Chromate_transp	169
2608289080	419	8	371	7	351	1.8e-20	73	pfam07690	MFS_1	352
2608289081	351	12	168	1	151	8.4e-47	158.9	pfam00044	Gp_dh_N	151
2608289081	351	173	329	1	157	3.4e-60	202	pfam02800	Gp_dh_C	157
2608289082	106	22	68	1	46	5.8e-18	64.2	pfam01022	HTH_5	47
2608289084	315	94	313	1	183	1.2e-22	80.3	pfam00528	BPD_transp_1	185
2608289085	297	92	297	1	181	6.9e-20	71.3	pfam00528	BPD_transp_1	185
2608289086	269	29	183	2	136	2.5e-29	102.3	pfam00005	ABC_tran	137
2608289089	216	30	182	4	91	7.8e-08	31.9	pfam00149	Metallophos	200
2608289090	828	29	203	3	166	2.2e-25	89.1	pfam00270	DEAD	169
2608289090	828	282	360	3	75	4.6e-12	45.6	pfam00271	Helicase_C	78
2608289090	828	609	799	2	187	1.5e-44	152	pfam08494	DEAD_assoc	187
2608289091	546	1	169	1	176	2.3e-19	69.8	pfam04675	DNA_ligase_A_N	177
2608289091	546	212	417	3	202	2.7e-34	118.3	pfam01068	DNA_ligase_A_M	202
2608289091	546	437	527	2	97	1.3e-08	35	pfam04679	DNA_ligase_A_C	97
2608289092	328	14	301	38	152	6.1e-06	26	pfam00753	Lactamase_B	194
2608289094	95	5	54	8	52	1.1e-06	28.2	pfam04760	IF2_N	54
2608289095	439	157	427	4	267	8.7e-97	323	pfam09903	DUF2130	267
2608289108	94	2	94	8	98	6.8e-13	48.2	pfam09876	DUF2103	103
2608289109	216	21	216	1	210	2.1e-63	213.8	pfam11264	ThylakoidFormat	216
2608289110	195	9	191	2	181	3.3e-82	274.5	pfam00574	CLP_protease	182
2608289111	637	8	120	1	108	2.5e-08	34	pfam06480	FtsH_ext	110
2608289111	637	217	350	1	130	1.2e-45	154.8	pfam00004	AAA	132
2608289111	637	410	619	3	213	2.5e-78	262.4	pfam01434	Peptidase_M41	213
2608289112	69	4	66	1	63	1.1e-28	98.5	pfam11347	DUF3148	63
2608289113	405	4	151	4	142	1.6e-07	31.2	pfam00675	Peptidase_M16	149
2608289113	405	173	326	64	170	2.6e-09	37	pfam05193	Peptidase_M16_C	184
2608289114	421	16	164	6	148	2.5e-26	92.2	pfam00675	Peptidase_M16	149
2608289114	421	169	354	2	182	9.5e-20	71	pfam05193	Peptidase_M16_C	184
2608289115	241	20	240	2	228	2.8e-66	223.2	pfam05996	Fe_bilin_red	228
2608289116	304	72	293	32	243	4.2e-09	36	pfam12700	HlyD_2	328
2608289117	390	272	386	3	117	1.1e-15	57.5	pfam02687	FtsX	121
2608289118	242	36	185	1	137	5.2e-33	114.2	pfam00005	ABC_tran	137
2608289120	303	4	165	1	105	5.5e-27	94.5	pfam00535	Glycos_transf_2	169
2608289120	303	134	207	15	70	4.1e-06	26.1	pfam02709	Glyco_transf_7C	78
2608289121	233	9	225	1	211	4.0e-81	271.2	pfam00318	Ribosomal_S2	211
2608289122	218	4	41	1	37	5.2e-11	42	pfam00627	UBA	37
2608289122	218	57	99	1	40	1.5e-11	44.1	pfam00889	EF_TS	221
2608289122	218	92	199	120	221	2.2e-30	105.6	pfam00889	EF_TS	221
2608289124	818	394	557	17	164	2.5e-20	72.6	pfam00270	DEAD	169
2608289124	818	633	709	7	77	1.8e-15	56.5	pfam00271	Helicase_C	78
2608289125	227	33	222	49	188	5.6e-25	88.1	pfam01427	Peptidase_M15	198
2608289126	595	79	145	10	65	8.1e-14	50.9	pfam03460	NIR_SIR_ferr	69
2608289126	595	213	363	36	156	4.3e-37	126.8	pfam01077	NIR_SIR	157
2608289126	595	381	446	1	67	3.8e-12	45.6	pfam03460	NIR_SIR_ferr	69
2608289126	595	456	580	6	121	1.5e-04	21.1	pfam01077	NIR_SIR	157
2608289127	720	4	571	1	548	0.0e+00	611.1	pfam02092	tRNA_synt_2f	549
2608289128	446	1	305	3	311	1.7e-09	37.2	pfam01494	FAD_binding_3	356
2608289129	237	93	223	3	131	7.1e-36	122.9	pfam02557	VanY	132
2608289130	598	6	199	1	187	1.7e-53	180.8	pfam00009	GTP_EFTU	188
2608289130	598	222	292	1	74	1.3e-10	41.2	pfam03144	GTP_EFTU_D2	74
2608289130	598	398	486	3	86	1.3e-19	69.8	pfam00679	EFG_C	89
2608289131	122	11	72	3	62	4.6e-21	74	pfam03745	DUF309	62
2608289132	244	20	169	1	137	4.9e-31	107.8	pfam00005	ABC_tran	137
2608289133	309	73	302	1	214	1.2e-70	237.3	pfam01578	Cytochrom_C_asm	214
2608289134	252	17	226	2	199	2.0e-62	209.8	pfam00834	Ribul_P_3_epim	201
2608289135	353	22	343	2	309	8.4e-126	418.7	pfam03320	FBPase_glpX	309
2608289136	436	6	157	1	152	2.3e-48	163.6	pfam05201	GlutR_N	152
2608289136	436	180	315	9	135	9.9e-30	103.3	pfam01488	Shikimate_DH	135
2608289136	436	328	430	1	100	1.9e-26	91.9	pfam00745	GlutR_dimer	101
2608289137	431	5	277	2	247	2.8e-71	239.7	pfam00483	NTP_transferase	248
2608289138	472	3	175	2	162	7.7e-48	162.4	pfam03446	NAD_binding_2	163
2608289138	472	179	471	1	291	1.1e-118	395.7	pfam00393	6PGD	291
2608289139	242	20	209	2	198	5.7e-44	150.2	pfam01182	Glucosamine_iso	199
2608289140	182	6	176	4	147	1.2e-36	126	pfam08547	CIA30	157
2608289142	557	34	553	1	521	0.0e+00	694.1	pfam00920	ILVD_EDD	521
2608289144	205	9	198	1	199	6.8e-21	74.4	pfam14681	UPRTase	207
2608289145	170	64	101	3	36	5.5e-07	28.6	pfam00805	Pentapeptide	40
2608289145	170	101	151	15	58	1.1e-07	31.5	pfam13599	Pentapeptide_4	78
2608289146	354	6	211	1	176	4.2e-42	143.5	pfam02492	cobW	178
2608289146	354	247	338	7	87	2.4e-08	33.5	pfam07683	CobW_C	94
2608289147	84	4	83	1	79	3.6e-29	100.5	pfam02700	PurS	80
2608289148	221	3	208	3	233	3.8e-43	147.2	pfam13507	GATase_5	259
2608289149	357	2	329	2	287	8.4e-99	330.2	pfam01116	F_bP_aldolase	287
2608289150	365	8	126	1	108	8.0e-22	78	pfam01408	GFO_IDH_MocA	120
2608289150	365	138	250	1	67	1.1e-11	44.4	pfam02894	GFO_IDH_MocA_C	115
2608289152	293	57	282	35	186	9.0e-18	63.8	pfam01039	Carboxyl_trans	493
2608289153	299	7	220	1	194	6.9e-68	228	pfam00485	PRK	194
2608289154	357	5	353	1	348	1.3e-129	432.1	pfam00180	Iso_dh	348
2608289155	344	24	99	1	72	5.4e-18	64.2	pfam04613	LpxD	72
2608289155	344	106	141	4	36	3.7e-07	29.3	pfam00132	Hexapep	36
2608289155	344	154	189	1	35	6.4e-09	34.9	pfam00132	Hexapep	36
2608289155	344	231	266	2	36	2.6e-07	29.8	pfam00132	Hexapep	36
2608289156	360	2	234	1	240	2.6e-37	128.6	pfam00696	AA_kinase	242
2608289156	360	276	350	1	66	2.4e-15	56	pfam01472	PUA	74
2608289157	164	1	141	29	161	3.0e-09	36.4	pfam09419	PGP_phosphatase	168
2608289158	178	20	84	2	73	1.6e-06	28.3	pfam06949	DUF1292	76
2608289158	178	84	177	1	98	1.9e-29	101.6	pfam12527	DUF3727	100
2608289159	153	9	138	2	134	6.7e-28	97.4	pfam03652	UPF0081	135
2608289161	389	185	387	2	225	7.3e-10	38.2	pfam01996	F420_ligase	228
2608289163	538	341	533	2	193	3.2e-65	218.9	pfam12452	DUF3685	193
2608289164	255	2	231	2	228	4.6e-80	268.1	pfam00977	His_biosynth	229
2608289165	306	3	206	1	235	3.3e-17	62.7	pfam01370	Epimerase	236
2608289166	179	11	117	2	92	9.8e-19	67.5	pfam01066	CDP-OH_P_transf	101
2608289167	203	1	113	1	114	1.6e-20	72.8	pfam03479	DUF296	120
2608289167	203	126	184	3	59	5.7e-12	45.4	pfam00462	Glutaredoxin	60
2608289169	219	3	191	1	183	4.0e-40	137.7	pfam13460	NAD_binding_10	183
2608289170	217	35	169	1	105	1.4e-15	57.5	pfam00730	HhH-GPD	108
2608289170	217	100	128	2	29	1.3e-06	27.7	pfam00633	HHH	30
2608289171	352	25	167	1	136	3.4e-35	121.3	pfam00005	ABC_tran	137
2608289172	184	30	167	6	140	6.0e-28	97.3	pfam00210	Ferritin	142
2608289174	195	118	183	1	58	3.9e-07	29.7	pfam13545	HTH_Crp_2	76
2608289176	262	22	174	2	137	1.1e-24	87.3	pfam00005	ABC_tran	137
2608289177	440	47	142	2	82	1.4e-16	59.8	pfam00355	Rieske	97
2608289188	236	20	167	1	136	6.3e-33	113.9	pfam00005	ABC_tran	137
2608289189	249	22	176	1	137	2.8e-31	108.6	pfam00005	ABC_tran	137
2608289189	249	223	245	1	23	3.3e-07	29.8	pfam12399	BCA_ABC_TP_C	23
2608289190	376	34	331	3	267	8.5e-40	136.4	pfam02653	BPD_transp_2	267
2608289191	384	7	367	2	267	1.2e-46	158.8	pfam02653	BPD_transp_2	267
2608289192	425	36	406	2	362	0.0e+00	491.9	pfam13433	Peripla_BP_5	364
2608289193	203	5	178	3	177	1.5e-35	122.2	pfam02492	cobW	178
2608289194	228	35	188	2	144	3.3e-36	124.5	pfam01730	UreF	146
2608289195	149	7	72	1	63	1.4e-16	59.7	pfam02814	UreE_N	65
2608289195	149	78	149	2	71	1.0e-19	70.3	pfam05194	UreE_C	87
2608289196	300	51	270	2	209	7.6e-46	156.2	pfam01774	UreD	209
2608289197	100	1	99	1	99	2.6e-45	152.4	pfam00547	Urease_gamma	99
2608289198	106	5	104	1	100	3.5e-44	148.7	pfam00699	Urease_beta	100
2608289199	569	3	121	2	121	6.7e-58	194	pfam00449	Urease_alpha	121
2608289199	569	127	438	1	333	1.3e-64	218.9	pfam01979	Amidohydro_1	333
2608289201	586	96	371	20	176	3.6e-17	62.7	pfam00128	Alpha-amylase	316
2608289202	265	9	222	1	224	1.7e-17	63.8	pfam08282	Hydrolase_3	254
2608289204	75	4	71	1	67	1.0e-28	98.7	pfam08865	DUF1830	68
2608289206	268	7	264	2	259	2.0e-70	236.9	pfam02673	BacA	259
2608289209	242	40	199	1	154	5.2e-58	195.3	pfam01625	PMSR	156
2608289210	581	20	291	2	269	4.2e-36	124.7	pfam00664	ABC_membrane	275
2608289210	581	355	504	2	136	8.7e-27	94	pfam00005	ABC_tran	137
2608289211	104	9	104	2	85	1.2e-26	92.3	pfam11691	DUF3288	90
2608289212	349	7	71	4	63	4.0e-11	42.3	pfam02885	Glycos_trans_3N	66
2608289212	349	78	331	3	251	1.1e-81	273.9	pfam00591	Glycos_transf_3	253
2608289213	379	7	136	2	130	2.1e-52	176	pfam00988	CPSase_sm_chain	131
2608289213	379	196	374	2	191	2.0e-40	138.2	pfam00117	GATase	192
2608289214	132	20	117	2	112	5.5e-10	39.7	pfam00636	Ribonuclease_3	114
2608289215	336	98	172	1	70	2.9e-16	59.3	pfam08032	SpoU_sub_bind	76
2608289215	336	190	331	2	141	4.7e-38	130.2	pfam00588	SpoU_methylase	142
2608289216	71	4	71	1	68	1.2e-29	101.7	pfam08846	DUF1816	68
2608289217	480	19	463	1	441	0.0e+00	507.1	pfam01425	Amidase	441
2608289218	1165	4	191	2	167	1.8e-41	141.8	pfam02811	PHP	175
2608289218	1165	303	738	3	425	0.0e+00	561	pfam07733	DNA_pol3_alpha	426
2608289218	1165	811	902	1	89	7.8e-24	83.5	pfam14579	HHH_6	90
2608289218	1165	999	1076	1	74	6.8e-05	22.6	pfam01336	tRNA_anti-codon	75
2608289219	148	1	143	15	154	9.1e-46	155.1	pfam11947	DUF3464	154
2608289220	89	6	88	3	83	2.3e-24	84.9	pfam00312	Ribosomal_S15	83
2608289221	225	2	69	16	61	6.5e-06	25.8	pfam01330	RuvA_N	61
2608289222	125	82	123	1	41	3.5e-07	29.7	pfam05433	Rick_17kDa_Anti	42
2608289223	296	20	145	1	125	2.0e-14	53.6	pfam00892	EamA	126
2608289223	296	169	290	1	125	8.7e-13	48.4	pfam00892	EamA	126
2608289224	677	5	102	2	96	5.6e-36	122	pfam01807	zf-CHC2	98
2608289224	677	128	257	1	127	1.6e-41	141.2	pfam08275	Toprim_N	128
2608289224	677	264	346	2	69	1.8e-13	50.2	pfam13662	Toprim_4	81
2608289224	677	376	434	2	53	2.4e-04	21	pfam10410	DnaB_bind	59
2608289226	428	12	157	1	148	1.8e-36	125.1	pfam00817	IMS	149
2608289226	428	239	364	2	124	5.4e-12	45.7	pfam11799	IMS_C	127
2608289226	428	375	426	2	52	1.3e-14	53.4	pfam13438	DUF4113	52
2608289227	138	53	121	1	67	2.6e-15	55.8	pfam00717	Peptidase_S24	70
2608289228	138	35	136	64	155	7.3e-28	97.2	pfam02590	SPOUT_MTase	155
2608289230	276	5	271	3	258	2.0e-50	171.2	pfam00398	RrnaAD	262
2608289231	311	92	150	2	67	9.9e-10	38.3	pfam00288	GHMP_kinases_N	67
2608289231	311	202	293	13	80	1.1e-09	38.4	pfam08544	GHMP_kinases_C	85
2608289233	327	4	180	7	176	8.1e-47	158.9	pfam02779	Transket_pyr	178
2608289233	327	193	315	2	119	1.4e-37	128.3	pfam02780	Transketolase_C	124
2608289234	489	19	49	2	26	2.3e-06	26.5	pfam07549	Sec_GG	31
2608289234	489	292	472	14	186	9.4e-16	57.5	pfam02355	SecD_SecF	189
2608289235	304	34	64	6	28	5.5e-05	22.1	pfam07549	Sec_GG	31
2608289235	304	117	303	12	184	2.1e-52	177	pfam02355	SecD_SecF	189
2608289237	347	5	344	4	325	2.7e-53	181	pfam01594	UPF0118	327
2608289238	117	9	114	1	108	1.2e-41	140.9	pfam03912	Psb28	108
2608289239	347	5	137	14	110	9.7e-09	35.5	pfam00581	Rhodanese	113
2608289240	239	99	233	1	131	2.1e-35	121.4	pfam05419	GUN4	133
2608289241	144	24	142	10	123	1.2e-19	70.3	pfam13581	HATPase_c_2	125
2608289243	351	188	288	1	95	4.3e-17	62.3	pfam08241	Methyltransf_11	95
2608289244	473	16	97	2	84	2.6e-27	94.2	pfam03951	Gln-synt_N	84
