gene_oid	gene_length	query_start	query_end	domaindb	domainid	iprid	iprdesc	go_info
2608289074	384	148	223	SUPERFAMILY	SSF47384	IPR009082	Signal transduction histidine kinase, homodimeric domain	GO:0004871|GO:0007165
2608289076	760	64	311	SUPERFAMILY	SSF75011			
2608289076	760	374	413	SUPERFAMILY	SSF75011			
2608289076	760	411	743	SUPERFAMILY	SSF63829			
2608289077	444	143	444	SUPERFAMILY	SSF56935			
2608289078	328	33	327	SUPERFAMILY	SSF53850			
2608289080	419	19	411	SUPERFAMILY	SSF103473	IPR016196	Major facilitator superfamily domain, general substrate transporter	
2608289081	351	12	168	SMART	SM00846	IPR020828	Glyceraldehyde 3-phosphate dehydrogenase, NAD(P) binding domain	GO:0016620|GO:0055114
2608289081	351	166	173	ProSitePatterns	PS00071	IPR020830	Glyceraldehyde 3-phosphate dehydrogenase, active site	GO:0016620|GO:0055114
2608289081	351	12	196	SUPERFAMILY	SSF51735			
2608289081	351	168	330	SUPERFAMILY	SSF55347			
2608289082	106	5	102	ProSiteProfiles	PS50987	IPR001845	HTH ArsR-type DNA-binding domain	GO:0003700|GO:0006355
2608289082	106	18	96	SMART	SM00418	IPR001845	HTH ArsR-type DNA-binding domain	GO:0003700|GO:0006355
2608289082	106	38	56	ProSitePatterns	PS00846	IPR018334	ArsR-type transcription regulator, HTH motif	GO:0003700|GO:0005622|GO:0006355
2608289082	106	9	95	SUPERFAMILY	SSF46785			
2608289084	315	80	304	ProSiteProfiles	PS50928	IPR000515	Binding-protein-dependent transport systems inner membrane component	GO:0005215|GO:0006810|GO:0016020
2608289084	315	34	305	SUPERFAMILY	SSF161098			
2608289085	297	74	284	ProSiteProfiles	PS50928	IPR000515	Binding-protein-dependent transport systems inner membrane component	GO:0005215|GO:0006810|GO:0016020
2608289085	297	24	283	SUPERFAMILY	SSF161098			
2608289086	269	14	253	ProSiteProfiles	PS50893	IPR003439	ABC transporter-like	GO:0005524|GO:0016887
2608289086	269	38	235	SMART	SM00382	IPR003593	AAA+ ATPase domain	GO:0000166|GO:0017111
2608289086	269	212	269	ProSiteProfiles	PS51238	IPR015850	ABC transporter, phosphate import, PstB	GO:0005524|GO:0006817|GO:0015415|GO:0016020
2608289086	269	155	169	ProSitePatterns	PS00211	IPR017871	ABC transporter, conserved site	GO:0005524|GO:0016887
2608289086	269	8	227	SUPERFAMILY	SSF52540	IPR027417	P-loop containing nucleoside triphosphate hydrolase	
2608289089	216	31	162	SUPERFAMILY	SSF56300			
2608289090	828	252	401	ProSiteProfiles	PS51194	IPR001650	Helicase, C-terminal	GO:0003676|GO:0004386|GO:0005524
2608289090	828	278	360	SMART	SM00490	IPR001650	Helicase, C-terminal	GO:0003676|GO:0004386|GO:0005524
2608289090	828	24	229	SMART	SM00487	IPR014001	Helicase, superfamily 1/2, ATP-binding domain	
2608289090	828	36	215	ProSiteProfiles	PS51192	IPR014001	Helicase, superfamily 1/2, ATP-binding domain	
2608289090	828	37	200	SUPERFAMILY	SSF52540	IPR027417	P-loop containing nucleoside triphosphate hydrolase	
2608289090	828	236	371	SUPERFAMILY	SSF52540	IPR027417	P-loop containing nucleoside triphosphate hydrolase	
2608289091	546	6	183	SUPERFAMILY	SSF117018	IPR012308	DNA ligase, ATP-dependent, N-terminal	GO:0003677|GO:0003910|GO:0006281|GO:0006310
2608289091	546	313	450	ProSiteProfiles	PS50160	IPR012310	DNA ligase, ATP-dependent, central	GO:0003910|GO:0005524|GO:0006281|GO:0006310
2608289091	546	423	544	SUPERFAMILY	SSF50249	IPR012340	Nucleic acid-binding, OB-fold	
2608289091	546	234	242	ProSitePatterns	PS00697	IPR016059	DNA ligase, ATP-dependent, conserved site	GO:0003909|GO:0051103
2608289091	546	209	417	SUPERFAMILY	SSF56091			
2608289092	328	15	314	SUPERFAMILY	SSF56281			
2608289103	116	1	20	ProSiteProfiles	PS51257			
2608289110	195	88	99	ProSitePatterns	PS00381	IPR018215	ClpP, active site	GO:0004252|GO:0006508
2608289110	195	11	191	SUPERFAMILY	SSF52096			
2608289111	637	213	352	SMART	SM00382	IPR003593	AAA+ ATPase domain	GO:0000166|GO:0017111
2608289111	637	320	338	ProSitePatterns	PS00674	IPR003960	ATPase, AAA-type, conserved site	GO:0005524
2608289111	637	177	420	SUPERFAMILY	SSF52540	IPR027417	P-loop containing nucleoside triphosphate hydrolase	
2608289111	637	432	629	SUPERFAMILY	SSF140990			
2608289113	405	4	173	SUPERFAMILY	SSF63411	IPR011249	Metalloenzyme, LuxS/M16 peptidase-like	GO:0003824|GO:0046872
2608289113	405	216	392	SUPERFAMILY	SSF63411	IPR011249	Metalloenzyme, LuxS/M16 peptidase-like	GO:0003824|GO:0046872
2608289114	421	37	60	ProSitePatterns	PS00143	IPR001431	Peptidase M16, zinc-binding site	GO:0004222|GO:0006508
2608289114	421	3	197	SUPERFAMILY	SSF63411	IPR011249	Metalloenzyme, LuxS/M16 peptidase-like	GO:0003824|GO:0046872
2608289114	421	234	381	SUPERFAMILY	SSF63411	IPR011249	Metalloenzyme, LuxS/M16 peptidase-like	GO:0003824|GO:0046872
2608289116	304	1	26	ProSiteProfiles	PS51257			
2608289118	242	17	241	ProSiteProfiles	PS50893	IPR003439	ABC transporter-like	GO:0005524|GO:0016887
2608289118	242	45	233	SMART	SM00382	IPR003593	AAA+ ATPase domain	GO:0000166|GO:0017111
2608289118	242	157	171	ProSitePatterns	PS00211	IPR017871	ABC transporter, conserved site	GO:0005524|GO:0016887
2608289118	242	17	237	SUPERFAMILY	SSF52540	IPR027417	P-loop containing nucleoside triphosphate hydrolase	
2608289120	303	1	277	SUPERFAMILY	SSF53448			
2608289121	233	6	17	ProSitePatterns	PS00962	IPR018130	Ribosomal protein S2, conserved site	GO:0003735|GO:0005840|GO:0006412
2608289121	233	6	227	SUPERFAMILY	SSF52313	IPR023591	Ribosomal protein S2, flavodoxin-like domain	
2608289122	218	4	55	SUPERFAMILY	SSF46934	IPR009060	UBA-like	GO:0005515
2608289122	218	57	199	SUPERFAMILY	SSF54713	IPR014039	Translation elongation factor EFTs/EF1B, dimerisation	GO:0003746|GO:0005622|GO:0006414
2608289122	218	12	27	ProSitePatterns	PS01126	IPR018101	Translation elongation factor Ts, conserved site	GO:0003746|GO:0005622|GO:0006414
2608289122	218	77	87	ProSitePatterns	PS01127	IPR018101	Translation elongation factor Ts, conserved site	GO:0003746|GO:0005622|GO:0006414
2608289124	818	459	533	SMART	SM00490	IPR001650	Helicase, C-terminal	GO:0003676|GO:0004386|GO:0005524
2608289124	818	587	747	ProSiteProfiles	PS51194	IPR001650	Helicase, C-terminal	GO:0003676|GO:0004386|GO:0005524
2608289124	818	624	709	SMART	SM00490	IPR001650	Helicase, C-terminal	GO:0003676|GO:0004386|GO:0005524
2608289124	818	119	303	SUPERFAMILY	SSF50249	IPR012340	Nucleic acid-binding, OB-fold	
2608289124	818	389	579	SMART	SM00487	IPR014001	Helicase, superfamily 1/2, ATP-binding domain	
2608289124	818	407	568	ProSiteProfiles	PS51192	IPR014001	Helicase, superfamily 1/2, ATP-binding domain	
2608289124	818	309	573	SUPERFAMILY	SSF52540	IPR027417	P-loop containing nucleoside triphosphate hydrolase	
2608289124	818	512	721	SUPERFAMILY	SSF52540	IPR027417	P-loop containing nucleoside triphosphate hydrolase	
2608289125	227	14	221	SUPERFAMILY	SSF55166	IPR009045	Hedgehog signalling/DD-peptidase zinc-binding domain	
2608289126	595	21	154	SUPERFAMILY	SSF55124	IPR005117	Nitrite/Sulfite reductase ferredoxin-like domain	GO:0016491|GO:0055114
2608289126	595	378	451	SUPERFAMILY	SSF55124	IPR005117	Nitrite/Sulfite reductase ferredoxin-like domain	GO:0016491|GO:0055114
2608289126	595	506	522	ProSitePatterns	PS00365	IPR006066	Nitrite/sulphite reductase iron-sulphur/siroheam-binding site	GO:0016491|GO:0020037|GO:0051536|GO:0055114
2608289126	595	155	368	SUPERFAMILY	SSF56014			
2608289126	595	458	593	SUPERFAMILY	SSF56014			
2608289127	720	370	645	ProSiteProfiles	PS50861	IPR006194	Glycine-tRNA synthetase, heterodimeric	GO:0000166|GO:0004820|GO:0005524|GO:0005737|GO:0006426
2608289127	720	372	505	SUPERFAMILY	SSF109604			
2608289128	446	2	174	SUPERFAMILY	SSF51905			
2608289128	446	271	386	SUPERFAMILY	SSF51905			
2608289129	237	89	231	SUPERFAMILY	SSF55166	IPR009045	Hedgehog signalling/DD-peptidase zinc-binding domain	
2608289130	598	47	62	ProSitePatterns	PS00301	IPR000795	Elongation factor, GTP-binding domain	GO:0003924|GO:0005525
2608289130	598	155	302	SUPERFAMILY	SSF50447	IPR009000	Translation protein, beta-barrel domain	
