gene_oid	gene_length	percent_identity	query_start	query_end	subj_start	subj_end	evalue	bit_score	ko_id	ko_name	EC	img_ko_flag
2608288943	254	100	1	254	1	254	0.0e+00	506.1	KO:K11603	manganese transport system ATP-binding protein		Yes
2608288944	291	100	1	291	1	291	0.0e+00	563.9	KO:K11602	manganese transport system permease protein		Yes
2608288947	194	100	1	194	1	194	0.0e+00	396.4	KO:K03100	signal peptidase I [EC:3.4.21.89]	EC:3.4.21.89	Yes
2608288948	587	100	1	587	1	587	0.0e+00	1149.4	KO:K02551	2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylate synthase [EC:2.2.1.9]	EC:2.2.1.9	Yes
2608288949	285	100	1	285	1	285	0.0e+00	571.2	KO:K01661	naphthoate synthase [EC:4.1.3.36]	EC:4.1.3.36	Yes
2608288950	483	100	1	483	1	483	0.0e+00	1010	KO:K00703	starch synthase [EC:2.4.1.21]	EC:2.4.1.21	Yes
2608288951	457	100	1	457	1	457	0.0e+00	904	KO:K01929	UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase [EC:6.3.2.10]	EC:6.3.2.10	Yes
2608288952	449	100	1	449	1	449	0.0e+00	888.6	KO:K04042	bifunctional UDP-N-acetylglucosamine pyrophosphorylase / Glucosamine-1-phosphate N-acetyltransferase [EC:2.7.7.23 2.3.1.157]	EC:2.3.1.157	Yes
2608288952	449	100	1	449	1	449	0.0e+00	888.6	KO:K04042	bifunctional UDP-N-acetylglucosamine pyrophosphorylase / Glucosamine-1-phosphate N-acetyltransferase [EC:2.7.7.23 2.3.1.157]	EC:2.7.7.23	Yes
2608288954	436	100	1	436	1	436	0.0e+00	849	KO:K00800	3-phosphoshikimate 1-carboxyvinyltransferase [EC:2.5.1.19]	EC:2.5.1.19	Yes
2608288955	222	99.5	1	222	1	222	0.0e+00	442.2	KO:K05979	2-phosphosulfolactate phosphatase [EC:3.1.3.71]	EC:3.1.3.71	Yes
2608288956	270	95.9	1	270	6	275	0.0e+00	525	KO:K01501	nitrilase [EC:3.5.5.1]	EC:3.5.5.1	Yes
2608288957	361	100	1	361	1	361	0.0e+00	719.5	KO:K01448	N-acetylmuramoyl-L-alanine amidase [EC:3.5.1.28]	EC:3.5.1.28	Yes
2608288958	264	99.6	1	264	1	264	0.0e+00	519.6	KO:K01776	glutamate racemase [EC:5.1.1.3]	EC:5.1.1.3	Yes
2608288959	323	100	1	323	1	323	0.0e+00	624.8	KO:K05356	all-trans-nonaprenyl-diphosphate synthase [EC:2.5.1.84 2.5.1.85]	EC:2.5.1.84	Yes
2608288959	323	100	1	323	1	323	0.0e+00	624.8	KO:K05356	all-trans-nonaprenyl-diphosphate synthase [EC:2.5.1.84 2.5.1.85]	EC:2.5.1.85	Yes
2608288960	660	100	1	660	1	660	0.0e+00	1339.7	KO:K01895	acetyl-CoA synthetase [EC:6.2.1.1]	EC:6.2.1.1	Yes
2608288962	259	100	1	259	1	259	0.0e+00	528.1	KO:K02342	DNA polymerase III subunit epsilon [EC:2.7.7.7]	EC:2.7.7.7	Yes
2608288964	426	99.8	1	426	1	426	0.0e+00	839.3	KO:K01892	histidyl-tRNA synthetase [EC:6.1.1.21]	EC:6.1.1.21	Yes
2608288969	352	100	1	352	1	352	0.0e+00	735.7	KO:K08918	chlorophyll a/b binding light-harvesting protein PcbA		Yes
2608288970	461	100	1	461	1	461	0.0e+00	896.7	KO:K03312	glutamate:Na+ symporter, ESS family		Yes
2608288972	219	100	1	219	1	219	0.0e+00	460.3	KO:K00799	glutathione S-transferase [EC:2.5.1.18]	EC:2.5.1.18	Yes
2608288975	427	100	1	427	1	427	0.0e+00	880.2	KO:K06444	lycopene epsilon-cyclase [EC:5.5.1.18]	EC:5.5.1.18	Yes
2608288976	333	100	1	333	1	333	0.0e+00	656.4	KO:K00218	protochlorophyllide reductase [EC:1.3.1.33]	EC:1.3.1.33	Yes
2608288979	150	99.3	1	150	1	150	0.0e+00	300.8	KO:K03711	Fur family transcriptional regulator, ferric uptake regulator		Yes
2608288981	407	100	1	407	1	407	0.0e+00	808.5	KO:K05978	glucosylglycerol 3-phosphatase [EC:3.1.3.69]	EC:3.1.3.69	Yes
2608288984	442	99.8	1	442	1	442	0.0e+00	885.9	KO:K01740	O-acetylhomoserine (thiol)-lyase [EC:2.5.1.49]	EC:2.5.1.49	Yes
2608288985	316	100	1	316	1	316	0.0e+00	662.5	KO:K00651	homoserine O-succinyltransferase [EC:2.3.1.46]	EC:2.3.1.46	Yes
2608288986	521	100	1	521	1	521	0.0e+00	995	KO:K03321	sulfate permease, SulP family		Yes
2608288988	379	91.4	1	378	26	410	0.0e+00	713.4	KO:K03795	sirohydrochlorin cobaltochelatase [EC:4.99.1.3]	EC:4.99.1.3	Yes
2608288994	129	100	1	129	1	129	0.0e+00	269.2	KO:K01759	lactoylglutathione lyase [EC:4.4.1.5]	EC:4.4.1.5	Yes
2608289007	777	99.9	1	777	1	777	0.0e+00	1591.6	KO:K00524	ribonucleotide reductase, class II [EC:1.17.4.1]	EC:1.17.4.1	Yes
2608289009	545	100	1	545	1	545	0.0e+00	1093.2	KO:K02837	peptide chain release factor 3		Yes
2608289011	300	100	1	300	1	300	0.0e+00	590.1	KO:K04083	molecular chaperone Hsp33		Yes
2608289012	215	100	1	215	1	215	0.0e+00	424.5	KO:K16787	energy-coupling factor transport system ATP-binding protein [EC:3.6.3.-]	EC:3.6.3.-	Yes
2608289014	257	100	1	257	1	257	0.0e+00	516.9	KO:K09761	16S rRNA (uracil1498-N3)-methyltransferase [EC:2.1.1.193]	EC:2.1.1.193	Yes
2608289017	500	99.8	1	500	1	500	0.0e+00	970.3	KO:K02042	phosphonate transport system permease protein		Yes
2608289018	246	100	1	246	1	246	0.0e+00	484.6	KO:K02041	phosphonate transport system ATP-binding protein [EC:3.6.3.28]	EC:3.6.3.28	Yes
2608289019	297	100	1	297	1	297	0.0e+00	589.7	KO:K02044	phosphonate transport system substrate-binding protein		Yes
2608289020	392	100	1	392	1	392	0.0e+00	774.2	KO:K00812	aspartate aminotransferase [EC:2.6.1.1]	EC:2.6.1.1	Yes
2608289021	167	99.4	1	167	1	167	0.0e+00	338.6	KO:K02334	DNA polymerase bacteriophage-type [EC:2.7.7.7]	EC:2.7.7.7	Yes
2608289022	405	100	1	405	1	405	0.0e+00	802.7	KO:K03526	(E)-4-hydroxy-3-methylbut-2-enyl-diphosphate synthase [EC:1.17.7.1]	EC:1.17.7.1	Yes
2608289023	444	99.8	1	444	1	444	0.0e+00	855.5	KO:K03797	carboxyl-terminal processing protease [EC:3.4.21.102]	EC:3.4.21.102	Yes
2608289024	304	99.7	1	304	1	304	0.0e+00	615.9	KO:K03517	quinolinate synthase [EC:2.5.1.72]	EC:2.5.1.72	Yes
2608289028	363	99.7	1	363	1	363	0.0e+00	713	KO:K01735	3-dehydroquinate synthase [EC:4.2.3.4]	EC:4.2.3.4	Yes
2608289029	396	100	1	396	1	396	0.0e+00	805.1	KO:K01589	5-(carboxyamino)imidazole ribonucleotide synthase [EC:6.3.4.18]	EC:6.3.4.18	Yes
2608289038	532	99.8	1	532	1	532	0.0e+00	1011.5	KO:K09760	DNA recombination protein RmuC		Yes
2608289043	249	100	1	249	1	249	0.0e+00	501.5	KO:K01972	DNA ligase (NAD+) [EC:6.5.1.2]	EC:6.5.1.2	Yes
2608289071	351	100	1	351	1	351	0.0e+00	681.4	KO:K10716	voltage-gated potassium channel		Yes
2608289072	123	100	7	123	1	117	0.0e+00	233.8	KO:K08906	cytochrome c6		Yes
2608289073	242	100	1	242	1	242	0.0e+00	479.6	KO:K07657	two-component system, OmpR family, phosphate regulon response regulator PhoB		Yes
2608289074	384	100	1	384	3	386	0.0e+00	749.2	KO:K07636	two-component system, OmpR family, phosphate regulon sensor histidine kinase PhoR [EC:2.7.13.3]	EC:2.7.13.3	Yes
2608289076	760	67.2	1	760	1	754	0.0e+00	1036.2	KO:K01077	alkaline phosphatase [EC:3.1.3.1]	EC:3.1.3.1	Yes
2608289078	328	100	1	328	4	331	0.0e+00	655.6	KO:K02040	phosphate transport system substrate-binding protein		Yes
2608289079	408	100	1	408	1	408	0.0e+00	787.3	KO:K07240	chromate transporter		Yes
2608289081	351	100	1	351	1	351	0.0e+00	706.1	KO:K00134	glyceraldehyde 3-phosphate dehydrogenase [EC:1.2.1.12]	EC:1.2.1.12	Yes
2608289082	106	91.4	1	105	21	125	0.0e+00	195.3	KO:K03892	ArsR family transcriptional regulator		Yes
2608289084	315	100	1	315	1	315	0.0e+00	606.7	KO:K02037	phosphate transport system permease protein		Yes
2608289085	297	100	1	297	1	297	0.0e+00	568.2	KO:K02038	phosphate transport system permease protein		Yes
2608289086	269	100	1	269	1	269	0.0e+00	542	KO:K02036	phosphate transport system ATP-binding protein [EC:3.6.3.27]	EC:3.6.3.27	Yes
2608289090	828	100	1	828	1	828	0.0e+00	1648.6	KO:K03724	ATP-dependent helicase Lhr and Lhr-like helicase [EC:3.6.4.-]	EC:3.6.4.-	Yes
2608289091	546	100	1	546	1	546	0.0e+00	1095.5	KO:K01971	DNA ligase (ATP) [EC:6.5.1.1]	EC:6.5.1.1	Yes
2608289092	328	99.7	1	328	1	328	0.0e+00	670.6	KO:K07577	putative mRNA 3-end processing factor		Yes
2608289110	195	100	1	195	1	195	0.0e+00	384	KO:K01358	ATP-dependent Clp protease, protease subunit [EC:3.4.21.92]	EC:3.4.21.92	Yes
2608289111	637	100	1	637	1	637	0.0e+00	1232.2	KO:K03798	cell division protease FtsH [EC:3.4.24.-]	EC:3.4.24.-	Yes
2608289113	405	100	1	405	1	405	0.0e+00	805.4	KO:K01423			Yes
2608289114	421	100	1	421	1	421	0.0e+00	849.7	KO:K01423			Yes
2608289115	241	99.6	1	241	1	241	0.0e+00	477.6	KO:K05371	phycocyanobilin:ferredoxin oxidoreductase [EC:1.3.7.5]	EC:1.3.7.5	Yes
2608289116	304	100	1	304	1	304	0.0e+00	581.3	KO:K02005	HlyD family secretion protein		Yes
2608289117	390	100	1	390	1	390	0.0e+00	762.7	KO:K02004	putative ABC transport system permease protein		Yes
2608289118	242	100	1	242	1	242	0.0e+00	477.2	KO:K02003	putative ABC transport system ATP-binding protein		Yes
2608289121	233	100	1	233	1	233	0.0e+00	468.4	KO:K02967	small subunit ribosomal protein S2		Yes
2608289122	218	100	1	218	1	218	0.0e+00	424.5	KO:K02357	elongation factor Ts		Yes
2608289124	818	99.9	1	818	1	818	0.0e+00	1587	KO:K03655	ATP-dependent DNA helicase RecG [EC:3.6.4.12]	EC:3.6.4.12	Yes
2608289125	227	99.6	1	227	1	227	0.0e+00	480.3	KO:K08641	D-alanyl-D-alanine dipeptidase [EC:3.4.13.22]	EC:3.4.13.22	Yes
2608289126	595	99.8	1	595	1	595	0.0e+00	1193.3	KO:K00392	sulfite reductase (ferredoxin) [EC:1.8.7.1]	EC:1.8.7.1	Yes
2608289127	720	99.9	1	720	1	720	0.0e+00	1403.3	KO:K01879	glycyl-tRNA synthetase beta chain [EC:6.1.1.14]	EC:6.1.1.14	Yes
2608289128	446	100	1	446	1	446	0.0e+00	886.3	KO:K10960	geranylgeranyl reductase [EC:1.3.1.83]	EC:1.3.1.83	Yes
2608289129	237	99.6	1	237	1	237	0.0e+00	474.2	KO:K07260	D-alanyl-D-alanine carboxypeptidase [EC:3.4.16.4]	EC:3.4.16.4	Yes
2608289130	598	100	1	598	1	598	0.0e+00	1183.3	KO:K06207	GTP-binding protein		Yes
2608289131	122	100	1	122	1	122	0.0e+00	248.8	KO:K09763	hypothetical protein		Yes
2608289132	244	100	1	244	1	244	0.0e+00	477.6	KO:K06861	lipopolysaccharide export system ATP-binding protein [EC:3.6.3.-]	EC:3.6.3.-	Yes
2608289134	252	100	1	252	1	252	0.0e+00	516.2	KO:K01783	ribulose-phosphate 3-epimerase [EC:5.1.3.1]	EC:5.1.3.1	Yes
2608289135	353	100	1	353	1	353	0.0e+00	694.1	KO:K11532	fructose-1,6-bisphosphatase II / sedoheptulose-1,7-bisphosphatase [EC:3.1.3.11 3.1.3.37]	EC:3.1.3.11	Yes
2608289135	353	100	1	353	1	353	0.0e+00	694.1	KO:K11532	fructose-1,6-bisphosphatase II / sedoheptulose-1,7-bisphosphatase [EC:3.1.3.11 3.1.3.37]	EC:3.1.3.37	Yes
2608289136	436	100	1	436	1	436	0.0e+00	828.9	KO:K02492	glutamyl-tRNA reductase [EC:1.2.1.70]	EC:1.2.1.70	Yes
2608289137	431	100	1	431	1	431	0.0e+00	867.1	KO:K00975	glucose-1-phosphate adenylyltransferase [EC:2.7.7.27]	EC:2.7.7.27	Yes
2608289138	472	100	1	472	1	472	0.0e+00	939.1	KO:K00033	6-phosphogluconate dehydrogenase [EC:1.1.1.44]	EC:1.1.1.44	Yes
2608289139	242	100	1	242	4	245	0.0e+00	481.5	KO:K01057	6-phosphogluconolactonase [EC:3.1.1.31]	EC:3.1.1.31	Yes
2608289142	557	100	1	557	1	557	0.0e+00	1086.2	KO:K01687	dihydroxy-acid dehydratase [EC:4.2.1.9]	EC:4.2.1.9	Yes
2608289144	205	100	1	205	1	205	0.0e+00	413.7	KO:K00761	uracil phosphoribosyltransferase [EC:2.4.2.9]	EC:2.4.2.9	Yes
2608289146	354	100	1	354	1	354	0.0e+00	712.2	KO:K02234	cobalamin biosynthesis protein CobW		Yes
2608289147	84	98.8	1	84	1	84	1.3e-39	163.3	KO:K01952	phosphoribosylformylglycinamidine synthase [EC:6.3.5.3]	EC:6.3.5.3	Yes
2608289148	221	100	1	221	1	221	0.0e+00	458.8	KO:K01952	phosphoribosylformylglycinamidine synthase [EC:6.3.5.3]	EC:6.3.5.3	Yes
2608289149	357	100	1	357	1	357	0.0e+00	718	KO:K01624	fructose-bisphosphate aldolase, class II [EC:4.1.2.13]	EC:4.1.2.13	Yes
2608289150	365	100	1	365	1	365	0.0e+00	731.5	KO:K00540			Yes
2608289152	293	99.7	1	293	1	293	0.0e+00	582	KO:K01963	acetyl-CoA carboxylase carboxyl transferase subunit beta [EC:6.4.1.2]	EC:6.4.1.2	Yes
2608289153	299	100	1	299	1	299	0.0e+00	616.7	KO:K00855	phosphoribulokinase [EC:2.7.1.19]	EC:2.7.1.19	Yes
2608289154	357	100	1	357	1	357	0.0e+00	691.8	KO:K00052	3-isopropylmalate dehydrogenase [EC:1.1.1.85]	EC:1.1.1.85	Yes
2608289155	344	100	1	344	1	344	0.0e+00	685.3	KO:K02536	UDP-3-O-[3-hydroxymyristoyl] glucosamine N-acyltransferase [EC:2.3.1.191]	EC:2.3.1.191	Yes
2608289156	360	100	1	360	1	360	0.0e+00	701.4	KO:K00931	glutamate 5-kinase [EC:2.7.2.11]	EC:2.7.2.11	Yes
2608289157	164	100	1	164	1	164	0.0e+00	323.6	KO:K07015			Yes
2608289159	153	99.3	1	153	1	153	0.0e+00	311.2	KO:K07447	putative holliday junction resolvase [EC:3.1.-.-]	EC:3.1.-	Yes
2608289164	255	100	1	255	1	255	0.0e+00	500	KO:K01814	phosphoribosylformimino-5-aminoimidazole carboxamide ribotide isomerase [EC:5.3.1.16]	EC:5.3.1.16	Yes
2608289166	179	99.4	1	179	1	179	0.0e+00	352.4	KO:K00995	CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase [EC:2.7.8.5]	EC:2.7.8.5	Yes
2608289170	217	100	1	217	1	217	0.0e+00	443.4	KO:K10773	endonuclease III [EC:4.2.99.18]	EC:4.2.99.18	Yes
2608289171	352	99.7	1	352	1	352	0.0e+00	701.4	KO:K02010	iron(III) transport system ATP-binding protein [EC:3.6.3.30]	EC:3.6.3.30	Yes
2608289176	262	99.6	1	262	1	262	0.0e+00	521.5	KO:K02013	iron complex transport system ATP-binding protein [EC:3.6.3.34]	EC:3.6.3.34	Yes
2608289188	236	100	1	236	1	236	0.0e+00	463	KO:K11963	urea transport system ATP-binding protein		Yes
2608289189	249	100	1	249	1	249	0.0e+00	485.7	KO:K11962	urea transport system ATP-binding protein		Yes
2608289190	376	100	1	376	1	376	0.0e+00	747.3	KO:K11961	urea transport system permease protein		Yes
2608289191	384	99.7	1	384	1	384	0.0e+00	735.3	KO:K11960	urea transport system permease protein		Yes
2608289192	425	100	1	425	1	425	0.0e+00	859.8	KO:K11959	urea transport system substrate-binding protein		Yes
2608289193	203	100	1	203	1	203	0.0e+00	404.1	KO:K03189	urease accessory protein		Yes
2608289194	228	100	1	228	1	228	0.0e+00	459.1	KO:K03188	urease accessory protein		Yes
2608289195	149	100	1	149	1	149	0.0e+00	297	KO:K03187	urease accessory protein		Yes
2608289196	300	100	1	300	1	300	0.0e+00	610.1	KO:K03190	urease accessory protein		Yes
2608289197	100	100	1	100	1	100	0.0e+00	198.4	KO:K01430	urease subunit gamma [EC:3.5.1.5]	EC:3.5.1.5	Yes
2608289198	106	100	1	106	1	106	0.0e+00	213.4	KO:K01429	urease subunit beta [EC:3.5.1.5]	EC:3.5.1.5	Yes
2608289199	569	100	1	569	1	569	0.0e+00	1151.7	KO:K01428	urease subunit alpha [EC:3.5.1.5]	EC:3.5.1.5	Yes
2608289201	586	99.8	1	586	1	586	0.0e+00	1185.6	KO:K00690	sucrose phosphorylase [EC:2.4.1.7]	EC:2.4.1.7	Yes
2608289202	265	100	1	265	1	265	0.0e+00	530.8	KO:K07026	mannosyl-3-phosphoglycerate phosphatase [EC:3.1.3.70]	EC:3.1.3.70	Yes
2608289203	314	99.7	1	314	1	314	0.0e+00	654.1	KO:K15918	D-glycerate 3-kinase [EC:2.7.1.31]	EC:2.7.1.31	Yes
2608289206	268	100	1	268	1	268	0.0e+00	516.5	KO:K06153	undecaprenyl-diphosphatase [EC:3.6.1.27]	EC:3.6.1.27	Yes
2608289209	242	100	1	242	1	242	0.0e+00	515.4	KO:K07304	peptide-methionine (S)-S-oxide reductase [EC:1.8.4.11]	EC:1.8.4.11	Yes
2608289210	581	100	1	581	1	581	0.0e+00	1108.6	KO:K06147	ATP-binding cassette, subfamily B, bacterial		Yes
2608289212	349	100	1	349	1	349	0.0e+00	684.1	KO:K00766	anthranilate phosphoribosyltransferase [EC:2.4.2.18]	EC:2.4.2.18	Yes
2608289213	379	100	1	379	1	379	0.0e+00	771.5	KO:K01956	carbamoyl-phosphate synthase small subunit [EC:6.3.5.5]	EC:6.3.5.5	Yes
2608289214	132	99.2	1	132	1	132	0.0e+00	270.4	KO:K11145	ribonuclease III family protein [EC:3.1.26.-]	EC:3.1.26.-	Yes
2608289215	336	100	1	336	1	336	0.0e+00	664.8	KO:K03218	23S rRNA (guanosine2251-2'-O)-methyltransferase [EC:2.1.1.185]	EC:2.1.1.185	Yes
2608289217	480	100	1	480	1	480	0.0e+00	956.1	KO:K02433	aspartyl-tRNA(Asn)/glutamyl-tRNA(Gln) amidotransferase subunit A [EC:6.3.5.6 6.3.5.7]	EC:6.3.5.6	Yes
2608289217	480	100	1	480	1	480	0.0e+00	956.1	KO:K02433	aspartyl-tRNA(Asn)/glutamyl-tRNA(Gln) amidotransferase subunit A [EC:6.3.5.6 6.3.5.7]	EC:6.3.5.7	Yes
2608289218	1165	100	1	1165	1	1165	0.0e+00	2298.9	KO:K02337	DNA polymerase III subunit alpha [EC:2.7.7.7]	EC:2.7.7.7	Yes
2608289220	89	100	1	89	1	89	6.1e-43	174.5	KO:K02956	small subunit ribosomal protein S15		Yes
2608289221	225	99.6	1	225	1	225	0.0e+00	438	KO:K03550	holliday junction DNA helicase RuvA [EC:3.6.4.12]	EC:3.6.4.12	Yes
2608289224	677	100	1	677	1	677	0.0e+00	1348.6	KO:K02316	DNA primase [EC:2.7.7.-]	EC:2.7.7.-	Yes
2608289226	428	100	1	428	1	428	0.0e+00	837.4	KO:K03502	DNA polymerase V		Yes
2608289227	138	99.3	1	138	1	138	0.0e+00	279.6	KO:K03503	DNA polymerase V [EC:3.4.21.-]	EC:3.4.21.-	Yes
2608289228	138	100	1	138	1	138	0.0e+00	273.5	KO:K00783	23S rRNA (pseudouridine1915-N3)-methyltransferase [EC:2.1.1.177]	EC:2.1.1.177	Yes
2608289230	276	100	1	276	1	276	0.0e+00	542.3	KO:K02528	16S rRNA (adenine1518-N6/adenine1519-N6)-dimethyltransferase [EC:2.1.1.182]	EC:2.1.1.182	Yes
2608289231	311	100	1	311	1	311	0.0e+00	621.3	KO:K00919	4-diphosphocytidyl-2-C-methyl-D-erythritol kinase [EC:2.7.1.148]	EC:2.7.1.148	Yes
2608289233	327	99.7	1	327	1	327	0.0e+00	648.3	KO:K00162	pyruvate dehydrogenase E1 component subunit beta [EC:1.2.4.1]	EC:1.2.4.1	Yes
2608289234	489	100	1	489	1	489	0.0e+00	937.9	KO:K03072	preprotein translocase subunit SecD		Yes
2608289235	304	100	1	304	1	304	0.0e+00	585.5	KO:K03074	preprotein translocase subunit SecF		Yes
2608289238	117	100	1	117	1	117	0.0e+00	234.6	KO:K08903	photosystem II 13kDa protein		Yes
2608289239	347	100	1	347	1	347	0.0e+00	704.5	KO:K06917	tRNA 2-selenouridine synthase [EC:2.9.1.-]	EC:2.9.1.-	Yes
2608289244	473	100	1	473	1	473	0.0e+00	969.5	KO:K01915	glutamine synthetase [EC:6.3.1.2]	EC:6.3.1.2	Yes
2608289245	394	99.7	1	394	1	394	0.0e+00	795.8	KO:K00830	alanine-glyoxylate transaminase / serine-glyoxylate transaminase / serine-pyruvate transaminase [EC:2.6.1.44 2.6.1.45 2.6.1.51]	EC:2.6.1.44	Yes
2608289245	394	99.7	1	394	1	394	0.0e+00	795.8	KO:K00830	alanine-glyoxylate transaminase / serine-glyoxylate transaminase / serine-pyruvate transaminase [EC:2.6.1.44 2.6.1.45 2.6.1.51]	EC:2.6.1.45	Yes
2608289245	394	99.7	1	394	1	394	0.0e+00	795.8	KO:K00830	alanine-glyoxylate transaminase / serine-glyoxylate transaminase / serine-pyruvate transaminase [EC:2.6.1.44 2.6.1.45 2.6.1.51]	EC:2.6.1.51	Yes
2608289246	171	87.7	1	171	1	171	0.0e+00	305.8	KO:K01485	cytosine deaminase [EC:3.5.4.1]	EC:3.5.4.1	Yes
2608289247	461	100	1	461	1	461	0.0e+00	924.5	KO:K01618			Yes
2608289248	499	100	1	499	1	499	0.0e+00	961.4	KO:K06883			Yes
2608289249	152	100	1	152	1	152	0.0e+00	301.6	KO:K03101	signal peptidase II [EC:3.4.23.36]	EC:3.4.23.36	Yes
2608289250	189	100	1	189	1	189	0.0e+00	382.9	KO:K03523	biotin transport system substrate-specific component		Yes
2608289251	410	98.8	1	410	1	410	0.0e+00	761.5	KO:K02004	putative ABC transport system permease protein		Yes
2608289252	597	100	1	597	1	597	0.0e+00	1154	KO:K00873	pyruvate kinase [EC:2.7.1.40]	EC:2.7.1.40	Yes
2608289254	92	100	1	92	1	92	4.2e-45	181.8	KO:K02221	YggT family protein		Yes
2608289255	154	99.4	1	154	1	154	0.0e+00	299.3	KO:K06024	segregation and condensation protein B		Yes
2608289256	515	100	1	515	1	515	0.0e+00	1021.5	KO:K01754	threonine dehydratase [EC:4.3.1.19]	EC:4.3.1.19	Yes
2608289257	629	100	1	629	1	629	0.0e+00	1243.8	KO:K01662	1-deoxy-D-xylulose-5-phosphate synthase [EC:2.2.1.7]	EC:2.2.1.7	Yes
2608289258	86	100	1	86	1	86	7.0e-44	177.6	KO:K02698	photosystem I subunit X		Yes
2608289261	177	100	1	177	1	177	0.0e+00	362.5	KO:K03564	peroxiredoxin Q/BCP [EC:1.11.1.15]	EC:1.11.1.15	Yes
2608289262	78	100	1	78	1	78	1.0e-38	160.2	KO:K02902	large subunit ribosomal protein L28		Yes
